C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\westnortamernatu\input.txt
41717010|Animals|C0003062|55879|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)||MM;RC
41717032|*Populus|C0522458|27409|MH|RtM via: Populus tremuloides;Forced Leaf Node Lookup:populus;checkForceMH Boosted|TI|MM;RC|238^19^0;223^13^0
41717032|*Population Density|C0032665|22367|MH|RtM via: Population Density;Forced Leaf Node Lookup:population densities|TI|MM|53^20^0
41717032|*Ammonium|C0002611|20945|ET|Entry Term Replacement for "Ammonium Compounds";RtM via: Ammonium;checkForceMH Boosted|TI|MM|851^8^0
41717032|*Nitrogen|C0028158|15725|MH|RtM via: Nitrogen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nitrogen|TI|MM|860^8^0
41717032|Utah|C0042124|12008|MH|RtM via: Utah;Forced Leaf Node Lookup:utah|TI|MM|1076^4^0;902^4^0
41717032|*Diet|C0012155|62994|MH|RtM via: Diet;RtM via: Basal Diet;Forced Non-Leaf Node Lookup:diet|TI|MM;RC|608^4^0;808^4^0
41717032|*Eating|C0013470|42663|MH|RtM via: Ingestion|TI|MM|911^9^0
41717032|*Food|C0016452|24354|MH|RtM via: Food|TI|MM|311^4^0
41717032|*Food Habits|C0016468|41766|ET|Entry Term Replacement for "Feeding Behavior";RtM via: Food Habits;Forced Non-Leaf Node Lookup:food habits|TI|MM|658^11^0
41717032|Galliformes|C0325589|1000|MH|Forced Non-Leaf Node Lookup:grouse||MM;RC|28^6^0;189^6^0;359^6^0;651^6^0;883^6^0;1057^6^0;1133^6^0
41717032|*Attention|C0004268|1392|MH|RtM via: Attention;Forced Non-Leaf Node Lookup:attention|TI|MM|541^9^0
41717033|Animals|C0003062|110641|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Salmon;CT Treecode Lookup: B01.050.150.900.493 (Salmon);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);Beak;CT Treecode Lookup: A13.114 (Beak);CT Text Lookup: fish|TI|MM;RC|429^4^0
41717033|Humans|C0086418|1000|CT|Forced Humans: Clergy||MM
41717033|*Charadriiformes|C0325773|109641|MH|RtM via: Laridae;RtM via: Larus delawarensis;RtM via: California gull;RtM via: Genus Larus (organism);Forced Leaf Node Lookup:gulls;checkForceMH Boosted|TI|MM;RC|1018^4^0;824^5^0;782^5^0;191^4^0;34^18^0;58^16^0;69^5^0;437^4^0
41717033|*Salmon|C0036110|40975|MH|RtM via: Salmon;RtM via: Salmon - dietary;checkForceMH Boosted;Forced Non-Leaf Node Lookup:salmon|TI|MM|687^6^0;142^6^0
41717033|*Rivers|C0337050|20302|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|171^5^0
41717033|*Gastrointestinal Contents|C0017177|16315|MH|RtM via: Gastric Content;Forced Leaf Node Lookup:stomach contents|TI|MM|360^16^0
41717033|*Clergy|C0008935|9727|MH|RtM via: Priests;Forced Leaf Node Lookup:priests|TI|MM|715^6^0;316^6^0;805^6^0
41717033|Washington|C0043038|9355|MH|RtM via: Washington state;Forced Leaf Node Lookup:washington|TI|MM|335^10^0
41717033|*Fishes|C0016163|24708|MH|RtM via: Fishes|TI|MM|1010^4^0;920^4^0;628^4^0;551^4^0;429^4^0
41717033|*Diets|C0012155|15498|ET|Entry Term Replacement for "Diet";RtM via: Diet;Forced Non-Leaf Node Lookup:diets|TI|MM|1023^5^0;968^5^0;442^5^0
41717033|*Beak|C0004895|8121|MH|RtM via: Beak|TI|MM|26^6^0
41717033|*Seafood|C0206208|7011|MH|RtM via: Salmon (substance)|TI|MM|687^6^0;142^6^0
41717033|*Food Habits|C0016468|24999|ET|Entry Term Replacement for "Feeding Behavior";RtM via: Food Habits;Forced Non-Leaf Node Lookup:food habits|TI|MM|390^11^0
41717033|California|C0006754|1000|MH|Forced Non-Leaf Node Lookup:california||MM|58^10^0
41717041|Cattle|C0007452|122846|CT|RtM via: Cattle;Forced Leaf Node Lookup:cattle;CT Text Lookup: cattle|TI|MM;RC|1147^6^0;1069^6^0;339^6^0;1261^6^0
41717041|Horses|C0019944|122846|CT|RtM via: Equus caballus;CT Text Lookup: horses|TI|MM;RC|1401^5^0;1137^5^0;998^6^0;659^5^0;441^5^0;265^6^0;36^6^0
41717041|Animals|C0003062|122846|CT|RtM via: Equus caballus;RtM via: Cattle;Mammals;CT Treecode Lookup: B01.050.150.900.649 (Mammals);CT Text Lookup: cattle;CT Text Lookup: mammal|TI|MM;RC|1401^5^0;1137^5^0;998^6^0;659^5^0;441^5^0;265^6^0;36^6^0;1147^6^0;1069^6^0;339^6^0;513^7^0
41717041|*Grasses|C0018210|121846|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:grasses|TI|MM;RC|764^7^0
41717041|*Ecosystem|C0162358|73435|MH|RtM via: Ecosystem;Forced Lookup:ecosystem|TI|MM;RC|1369^9^0;400^9^0;229^9^0
41717041|*Water|C0043047|26383|MH|RtM via: Water;checkForceMH Boosted|TI|MM;RC|424^5^0;280^8^0
41717041|*Grassland|C0442534|26106|MH|Forced Leaf Node Lookup:meadows|TI|MM;RC|886^7^0;1161^6^0
41717041|Nevada|C0027951|12292|MH|RtM via: Nevada <Geographic Area>;Forced Leaf Node Lookup:nevada|TI|MM|586^6^0
41717041|*Mammals|C0024660|45807|MH|RtM via: Mammals;Forced Non-Leaf Node Lookup:mammals|TI|MM|806^6^0;513^7^0
41717041|*Plant|C0032098|40530|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|708^5^0
41717041|*Natural Springs|C3179043|11943|MH|RtM via: Natural Springs|TI|MM|674^7^0
41717041|North America|C0028405|381|MH|RtM via: North America|TI|MM|66^13^0
41717042|Animals|C0003062|141878|CT|Invertebrates;CT Treecode Lookup: B01.050.500 (Invertebrates);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);CT Text Lookup: fish|TI|MM;RC|794^4^0
41717042|*Ecosystem|C0162358|140878|MH|RtM via: Ecosystem;Forced Lookup:ecosystems|TI|MM;RC|2252^9^0;334^10^0
41717042|*Water Quality|C0597680|109628|MH|RtM via: Water Quality;Forced Leaf Node Lookup:water quality|TI|MM;RC|748^13^0
41717042|*Salix|C0995181|79186|MH|RtM via: Willow;Forced Leaf Node Lookup:willows;checkForceMH Boosted|TI|MM|1714^6^0;1074^6^0
41717042|*Water|C0043047|54746|MH|RtM via: Water;checkForceMH Boosted|TI|MM;RC|1902^5^0
41717042|*Soil|C0037592|48986|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|1186^4^0
41717042|*Temperature|C0039476|40337|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|1908^11^0
41717042|*Oxygen|C0030054|27665|MH|RtM via: Oxygen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:oxygen|TI|MM|1894^6^0
41717042|Nevada|C0027951|22166|MH|RtM via: Nevada <Geographic Area>;Forced Leaf Node Lookup:nevada|TI|MM|723^6^0
41717042|*Grassland|C0442534|21866|MH|Forced Leaf Node Lookup:meadows|TI|MM|1066^6^0;1496^6^0
41717042|*Invertebrates|C0021948|109209|MH|RtM via: Invertebrates;Forced Non-Leaf Node Lookup:invertebrates|TI|MM;RC|2096^13^0;2010^12^0;1584^12^0;843^13^0;612^12^0
41717042|*Fishes|C0016163|51045|MH|RtM via: Fishes|TI|MM;RC|1945^4^0;794^4^0
41717042|*Plant|C0032098|35448|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|1469^5^0;1044^5^0
41717042|*Maintenance|C0024501|12486|MH|RtM via: Maintenance|TI|MM|39^11^0
41717042|Conservation of Natural Resources|C0009799|1000|MH|Forced Non-Leaf Node Lookup:land management||MM;RC|149^15^0
41717043|Female|C0086287|52702|CT|CT Text Lookup: female;CT Text Lookup: females|TI|MM;RC|306^7^0
41717043|Animals|C0003062|52702|CT|Cyprinodontiformes;CT Treecode Lookup: B01.050.150.900.493 (Cyprinodontiformes)||MM;RC
41717043|*Life History Traits|C4277617|13184|MH|RtM via: Life History Traits;Forced Leaf Node Lookup:life history characteristics|TI|MM|31^28^0
41717043|*Cyprinodontiformes|C0010617|51702|MH|RtM via: Mosquito Fish;Forced Non-Leaf Node Lookup:gambusias|TI|MM;RC|143^12^0;124^16^0;110^12^0
41717043|*Habitats|C0871648|9498|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|340^7^0;178^8^0
41717043|*Phenotypic Plasticity|C4704854|2388|ET|Entry Term Replacement for "Adaptation, Physiological";RtM via: Phenotypic Plasticity|TI|MM|661^21^0
41717043|*Heat|C0018837|696|ET|Entry Term Replacement for "Hot Temperature";RtM via: Heat (physical force)|TI|MM|321^9^0;161^9^0
41717044|Animals|C0003062|30375|CT|Coleoptera;CT Treecode Lookup: B01.050.500.131 (Coleoptera)||MM;RC
41717044|*Gene Flow|C1565556|29375|MH|RtM via: Gene Flow;Forced Lookup:gene flow|TI|MM;RC|375^9^0
41717044|*Coleoptera|C0009276|10292|MH|RtM via: Order Coleoptera;RtM via: darkling beetles;RtM via: Eusattus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:coleoptera|TI|MM|53^10^0;65^13^0;33^8^0
41717044|*Silver|C0037125|4357|MH|RtM via: Silver;Forced Leaf Node Lookup:silver;checkForceMH Boosted|TI|MM|763^6^0;313^6^0;99^6^0
41717044|*Isoenzymes|C0022173|2129|MH|Forced Leaf Node Lookup:allozymes|TI|MM;RC|189^8^0
41717044|*Environment|C0014406|2721|MH|RtM via: Valley|TI|MM;RC|630^7^0;476^7^0;294^7^0
41717044|*Geology|C0017448|1305|MH|RtM via: Geology|TI|MM|661^8^0
41717044|North America|C0028405|873|MH|RtM via: North America;Forced Non-Leaf Node Lookup:north america|TI|MM;RC|156^13^0
41717044|*Electrophoresis|C0013855|528|MH|RtM via: Electrophoresis;Forced Non-Leaf Node Lookup:electrophoresis|TI|MM|198^15^0
41717045|Animals|C0003062|54967|CT|Ostracod;CT Treecode Lookup: B01.050.500.131 (Ostracod)||MM;RC
41717045|Idaho|C0020787|25115|MH|RtM via: Idaho (geographic location);Forced Leaf Node Lookup:idaho|TI|MM|752^5^0;95^5^0
41717045|Oregon|C0029195|18632|MH|RtM via: Oregon (geographic location);Forced Leaf Node Lookup:oregon|TI|MM|637^6^0;106^6^0
41717045|*Water|C0043047|18125|MH|RtM via: Water;checkForceMH Boosted|TI|MM|182^5^0
41717045|Nevada|C0027951|17795|MH|RtM via: Nevada <Geographic Area>;Forced Leaf Node Lookup:nevada|TI|MM|799^6^0;536^8^0;87^6^0
41717045|*Temperature|C0039476|17513|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM|206^11^0
41717045|*Oxygen|C0030054|10484|MH|RtM via: Oxygen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:oxygen|TI|MM|229^6^0
41717045|*Ostracod|C0598247|53967|ET|Entry Term Replacement for "Crustacea";RtM via: Ostracoda;RtM via: Candona candida;RtM via: Heterocypris incongruens;RtM via: Heterocypris salina;RtM via: Cypria;RtM via: Herpetocypris;RtM via: Ilyocypris;RtM via: Scottia|TI|MM;RC|992^8^0;816^8^0;729^8^0;545^8^0;41^8^0;397^15^0;414^24^0;676^19^0;601^6^0;440^13^0;347^10^0;759^7^0
41717045|*Freshwater|C0016710|12903|ET|Entry Term Replacement for "Fresh Water";RtM via: Fresh Water;Forced Non-Leaf Node Lookup:freshwaters|TI|MM|30^10^0
41717045|*Natural Springs|C3179043|8421|MH|RtM via: Natural Springs|TI|MM|76^7^0
41717045|*Electric Conductivity|C0013777|8229|MH|RtM via: Electric Conductivity|TI|MM|241^12^0
41717045|Candida|C0006836|1000|MH|Forced Non-Leaf Node Lookup:candidas||MM|405^7^0
41717045|Hydrogen-Ion Concentration|C0020283|1000|MH|Forced Non-Leaf Node Lookup:ph||MM|237^2^0
41717045|North America|C0028405|5355|MH|RtM via: North America|TI|MM|292^13^0
41717046|Animals|C0003062|232526|CT|Trout;CT Treecode Lookup: B01.050.150.900.493 (Trout);Oncorhynchus;CT Treecode Lookup: B01.050.150.900.493 (Oncorhynchus);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);Insect;CT Treecode Lookup: B01.050.500.131 (Insect);CT Text Lookup: fish|TI|MM;RC|953^4^0
41717046|*Trout|C0041200|231526|MH|RtM via: Salmo trutta;RtM via: Salvelinus fontinalis;RtM via: Trout (Dietary);checkForceMH Boosted;Forced Non-Leaf Node Lookup:salvelinus|TI|MM;RC|917^5^0;499^5^0;187^5^0;1602^11^0;1366^11^0;1214^11^0;866^11^0;293^11^0;31^11^0;44^21^0;37^5^0;136^5^0;299^5^0;337^5^0;725^5^0;807^5^0;872^5^0;1195^5^0;1220^5^0;1317^5^0;1372^5^0;1608^5^0;1719^5^0
41717046|*Rivers|C0337050|210671|MH|RtM via: Rivers;RtM via: Streams;Forced Leaf Node Lookup:streams;Forced Leaf Node Lookup:rivers|TI|MM;RC|1405^5^0;557^5^0;1631^6^0;103^6^0
41717046|*Oncorhynchus|C0029023|101329|MH|RtM via: Salmo clarki;checkForceMH Boosted;Forced Non-Leaf Node Lookup:oncorhynchus|TI|MM;RC|1709^15^0;1307^15^0;1185^15^0;797^15^0;715^15^0;327^15^0;126^15^0;143^19^0
41717046|*Gastrointestinal Contents|C0017177|41386|MH|RtM via: Gastric Content;Forced Leaf Node Lookup:stomach contents|TI|MM|476^16^0
41717046|Nevada|C0027951|39607|MH|RtM via: Nevada <Geographic Area>;Forced Leaf Node Lookup:nevada|TI|MM|577^6^0;285^6^0
41717046|Oregon|C0029195|38917|MH|RtM via: Oregon (geographic location);Forced Leaf Node Lookup:oregon|TI|MM|264^6^0
41717046|*Predatory Behavior|C0032942|81741|MH|RtM via: Predatory Behavior|TI|MM;RC|379^9^0
41717046|*Habitats|C0871648|64239|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|1638^8^0
41717046|*Insect|C0021585|49197|ET|Entry Term Replacement for "Insecta";RtM via: Insecta;Forced Non-Leaf Node Lookup:insects|TI|MM;RC|1089^6^0
41717046|*Diet|C0012155|6549|MH|RtM via: Diet;Forced Non-Leaf Node Lookup:diets|TI|MM|655^7^0;958^5^0
41717046|*Habits|C0018464|1410|MH|RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|780^6^0
41717046|*Stomachs|C0038351|978|ET|Entry Term Replacement for "Stomach";RtM via: Stomach;Forced Non-Leaf Node Lookup:stomachs|TI|MM|1034^8^0
41717046|California|C0006754|12984|MH|RtM via: California|TI|MM|239^10^0
41717047|Animals|C0003062|73194|CT|Chironomidae;CT Treecode Lookup: B01.050.500.131 (Chironomidae);Holometabola;CT Treecode Lookup: B01.050.500.131 (Holometabola);Simuliidae;CT Treecode Lookup: B01.050.500.131 (Simuliidae);Ephemeroptera;CT Treecode Lookup: B01.050.500.131 (Ephemeroptera);Pupae;CT Treecode Lookup: B05.500 (Pupae);Pupae;CT Treecode Lookup: G07.345.500.550.500 (Pupae);Insecta;CT Treecode Lookup: B01.050.500.131 (Insecta)||MM;RC
41717047|*Chironomidae|C0008135|72194|MH|RtM via: Chironomidae;Forced Leaf Node Lookup:chironomidae;checkForceMH Boosted|TI|MM;RC|1373^12^0
41717047|*Rivers|C0337050|44776|MH|RtM via: Streams;Forced Leaf Node Lookup:streams|TI|MM;RC|37^6^0
41717047|*Simuliidae|C0037162|27635|MH|RtM via: Simulium genus;RtM via: Simulium subgenus;Forced Leaf Node Lookup:simuliums;checkForceMH Boosted|TI|MM|1359^8^0
41717047|*Pupae|C0034120|15982|ET|Entry Term Replacement for "Pupa";RtM via: Pupa;checkForceMH Boosted|TI|MM|1447^5^0;652^5^0;188^5^0
41717047|*Linear Models|C0023732|8839|MH|RtM via: Linear Models;Forced Leaf Node Lookup:linear model|TI|MM|884^12^0;549^12^0
41717047|*Insecta|C0021585|8068|MH|Forced Lookup:caddisfly|TI|MM;RC|207^9^0
41717047|*Holometabola|C1004458|36135|MH|RtM via: Glossosomatidae;RtM via: Hydropsyche occidentalis;RtM via: Micrasema bactro;RtM via: Anagapetus;RtM via: Rhyacophila|TI|MM|229^15^0;1035^24^0;960^16^0;1436^10^0;940^10^0;217^10^0;991^11^0
41717047|*Ephemeroptera|C1003004|23277|MH|RtM via: Baetis;RtM via: Epeorus|TI|MM|1351^6^0;1064^7^0;978^7^0
41717047|*Chlorophyta|C0002032|987|MH|RtM via: Cladophora;Forced Non-Leaf Node Lookup:green alga|TI|MM|1464^10^0;1327^10^0;1218^10^0;1134^10^0;488^10^0;477^10^0
41717047|California|C0006754|183|MH|RtM via: California|TI|MM|121^10^0
41717048|Animals|C0003062|116056|CT|Odonata;CT Treecode Lookup: B01.050.500.131 (Odonata);Ephemeroptera;CT Treecode Lookup: B01.050.500.131 (Ephemeroptera)||MM;RC
41717048|*Odonata|C0998370|115056|MH|RtM via: Zygoptera;RtM via: Enallagma;RtM via: Sympetrum corruptum;RtM via: Anisoptera dragonflies;Forced Lookup:dragonfly;Forced Leaf Node Lookup:anisoptera;Forced Leaf Node Lookup:zygopteras;checkForceMH Boosted|TI|MM;RC|283^9^0;263^9^0;158^19^0;461^9^0;188^10^0;231^9^0
41717048|*Gene Flow|C1565556|18909|MH|RtM via: Gene Flow;Forced Lookup:gene flow|TI|MM|530^9^0
41717048|*Water|C0043047|8598|MH|RtM via: Water;checkForceMH Boosted|TI|MM|883^5^0;352^5^0
41717048|*Reproductive Isolation|C3178896|26295|MH|RtM via: Reproductive Isolation|TI|MM;RC|434^17^0
41717048|*Habitat|C0871648|15597|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM;RC|840^7^0
41717048|*Ephemeroptera|C1003004|7209|MH|RtM via: Ephemera Genus|TI|MM|867^12^0
41717048|*Dipterocarpaceae|C1008946|2787|MH|RtM via: Anisoptera plant|TI|MM|188^10^0
41717048|*Electrophoresis|C0013855|219|MH|RtM via: Protein electrophoresis;Forced Non-Leaf Node Lookup:electrophoresis|TI|MM|98^23^0;106^15^0
41717049|Animals|C0003062|27632|CT|Salmonids;CT Treecode Lookup: B01.050.150.900.493 (Salmonids);Oncorhynchus;CT Treecode Lookup: B01.050.150.900.493 (Oncorhynchus);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);CT Text Lookup: fish|TI|MM;RC|282^4^0
41717049|Humans|C0086418|1000|CT|Forced Humans: Transients and Migrants||MM
41717049|*Salmonids|C0036129|26632|ET|Entry Term Replacement for "Salmonidae";RtM via: Salmonidae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:salmonids|TI|MM|170^9^0
41717049|*Oncorhynchus|C0029023|18007|MH|RtM via: Salmo clarki;checkForceMH Boosted;Forced Non-Leaf Node Lookup:oncorhynchus|TI|MM;RC|685^15^0;97^15^0;114^19^0
41717049|*Lakes|C0337049|9844|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM|536^4^0;193^4^0;350^4^0
41717049|Nevada|C0027951|7255|MH|RtM via: Nevada <Geographic Area>;RtM via: Humboldt County, NV;Forced Leaf Node Lookup:nevada|TI|MM|216^6^0;199^15^0
41717049|*Transients and Migrants|C0040705|3859|MH|RtM via: Migrants;Forced Leaf Node Lookup:migrants|TI|MM|510^8^0;421^8^0;591^8^0
41717049|ACP5 protein, human|C1566918|8278|NM|RtM via: ACP5 protein, human|TI|MM|638^4^0;287^4^0
41717049|*Tartrate-Resistant Acid Phosphatase|C0297331|8277|HM|RtM via: ACP5 protein, human|TI|MM|638^4^0;287^4^0
41717049|*Physiological Phenomena|C2350828|756|MH|RtM via: Spawning|TI|MM|366^8^0;231^8^0
41717052|*Lichens|C0023657|60144|MH|RtM via: Lichen - organism;Forced Leaf Node Lookup:lichens;checkForceMH Boosted|TI|MM;RC|1523^7^0;1332^6^0;1200^6^0;1131^7^0;193^7^0;1613^7^0
41717052|*Soil|C0037592|36679|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM;RC|404^4^0;297^4^0;68^4^0
41717052|Utah|C0042124|19759|MH|RtM via: Utah;Forced Leaf Node Lookup:utah|TI|MM;RC|128^4^0
41717052|Colorado|C0009399|12952|MH|RtM via: Colorado;Forced Leaf Node Lookup:colorado|TI|MM|98^8^0
41717052|*Retrospective Studies|C0035363|7933|MH|RtM via: Retrospective Studies;Forced Lookup:retrospectively|TI|MM|649^15^0
41717052|*Cyanobacteria|C1047211|22884|MH|RtM via: Cyanobacteria;Forced Non-Leaf Node Lookup:cyanobacteria|TI|MM;RC|1001^13^0;167^13^0
41717052|*Green Algae|C0002032|12270|ET|Entry Term Replacement for "Chlorophyta";RtM via: Chlorophyta|TI|MM|1511^11^0
41717052|*Orientation, Spatial|C1704322|5019|MH|RtM via: Orientation (spatial)|TI|MM|521^11^0;389^11^0;314^8^0
41717052|*Polysaccharides|C0032594|1419|MH|RtM via: Polysaccharides;RtM via: Dietary Polysaccharide;Forced Non-Leaf Node Lookup:polysaccharides|TI|MM|956^14^0
41717053|*Trees|C0040811|11702|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM|1097^5^0
41717053|*Ericales|C0600625|29949|MH|RtM via: Allophyllum;RtM via: Collomia;RtM via: Gilia <angiosperm>;RtM via: Lathrocasis;RtM via: Navarretia;RtM via: Polemoniaceae;RtM via: Lathrocasis tenerrima|TI|MM|1202^11^0;1215^8^0;1175^5^0;1114^11^0;531^11^0;21^11^0;1229^10^0;67^13^0;124^15^0
41717053|*Flowers|C0330090|17382|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|947^7^0
41717053|*Seeds|C0036563|9339|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM;RC|917^4^0;896^5^0
41717053|*Plant Leaves|C0242724|7980|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|736^6^0
41717053|*Surveys|C0038951|78|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|294^7^0
41717054|Animals|C0003062|347674|CT|RtM via: Ovis ammon;CT Text Lookup: sheep|TI|MM;RC|157^14^0
41717054|Sheep|C0036945|347674|CT|RtM via: Ovis ammon;Forced Non-Leaf Node Lookup:sheep|TI|MM|157^14^0
41717054|*Juniperus|C0330152|346674|MH|RtM via: Juniperus;RtM via: Juniperus communis;Forced Leaf Node Lookup:juniperus;checkForceMH Boosted|TI|MM;RC|414^9^0
41717054|*Seedlings|C0242437|86055|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM;RC|1193^9^0;1024^8^0;749^9^0
41717054|*Larrea|C1026041|74874|MH|RtM via: Larrea tridentata;Forced Leaf Node Lookup:larrea tridentata;checkForceMH Boosted|TI|MM|290^17^0
41717054|*Pinus|C0330186|66582|MH|RtM via: Pinus <genus>;RtM via: Pinus <subgenus>;checkForceMH Boosted;Forced Non-Leaf Node Lookup:pinus|TI|MM|408^5^0
41717054|*Ambrosia|C0331432|48852|MH|RtM via: Ambrosia dumosa (plant);Forced Leaf Node Lookup:ambrosias;checkForceMH Boosted|TI|MM|312^15^0
41717054|*Yucca|C0524887|48525|MH|RtM via: Yucca brevifolia;Forced Leaf Node Lookup:yuccas;checkForceMH Boosted|TI|MM;RC|199^16^0;67^11^0;49^16^0
41717054|*Trees|C0040811|43691|MH|Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|74^4^0
41717054|*Artemisia|C0331308|33612|MH|RtM via: Artemisia (plant);checkForceMH Boosted;Forced Non-Leaf Node Lookup:artemisias|TI|MM|398^9^0
41717054|Nevada|C0027951|21450|MH|RtM via: Nevada <Geographic Area>;Forced Leaf Node Lookup:nevada|TI|MM;RC|191^6^0
41717054|*Environment|C0014406|19527|MH|RtM via: Woods|TI|MM;RC|804^5^0
41717054|*Woods|C0043217|13662|ET|Entry Term Replacement for "Wood";RtM via: Wood material|TI|MM|804^5^0
41717054|*Plant Nursery|C5197673|8301|ET|Entry Term Replacement for "Gardens";RtM via: Plant Nurseries|TI|MM|1068^11^0
41717054|*Seasons|C0036497|7053|MH|RtM via: spring (season)|TI|MM;RC|146^6^0
41717054|*Stresses, Abiotic|C4704918|2262|ET|Entry Term Replacement for "Stress, Physiological";RtM via: Abiotic Stress;Forced Non-Leaf Node Lookup:abiotic stresses|TI|MM|1628^16^0
41717054|*Rosaceae|C0969712|2025|MH|RtM via: Coleogyne ramosissima;Forced Non-Leaf Node Lookup:coleogynes|TI|MM;RC|347^21^0
41717055|*Trees|C0040811|147450|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:trees;checkForceMH Boosted|TI|MM;RC|1844^4^0;1622^4^0;1669^5^0;1481^5^0;1228^4^0;1064^5^0;781^4^0;630^5^0;260^4^0;181^4^0;76^4^0
41717055|*Populus|C0522458|111894|MH|RtM via: Populus fremontii;RtM via: Populus deltoides;Forced Leaf Node Lookup:populus fremontii;Forced Leaf Node Lookup:cottonwoods;checkForceMH Boosted|TI|MM;RC|1729^10^0;325^17^0
41717055|*Seedlings|C0242437|54108|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM;RC|1740^9^0
41717055|*Water|C0043047|38196|MH|RtM via: Water;checkForceMH Boosted|TI|MM;RC|1447^5^0
41717055|*Dehydration|C0011175|27252|MH|RtM via: Water Stress;Forced Leaf Node Lookup:water stress|TI|MM|1538^12^0
41717055|*Rivers|C0337050|24429|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|1301^5^0;1145^5^0;1089^5^0;599^5^0;468^5^0;497^5^0
41717055|New Mexico|C0027972|15879|MH|RtM via: New Mexico;Forced Leaf Node Lookup:new mexico|TI|MM|1375^10^0;396^10^0
41717055|*Forest|C0086312|116169|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM;RC|521^6^0
41717055|*Population Size|C0032683|7479|ET|Entry Term Replacement for "Population Density";RtM via: Population Size|TI|MM|1832^11^1;1849^4^1
