C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\wateintejwatebio\input.txt
10.2307/1521988|Animals|C0003062|30595|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)||MM;RC
10.2307/1522002|*Seasons|C0036497|6012|MH|Forced Leaf Node Lookup:seasonal|TI|MM;RC|329^8^0;1093^8^0;1887^8^0
10.2307/1522002|*Predatory Behavior|C0032942|24078|MH|RtM via: Predatory Behavior|TI|MM;RC|2152^9^0;590^9^0
10.2307/1522002|*Birds|C0005595|12513|MH|RtM via: Pelecanus occidentalis|TI|MM;RC|603^14^0;619^22^0
10.2307/1522002|*Eggs|C0013710|9612|MH|RtM via: Egg Food Product|TI|MM;RC|1271^3^0;1003^4^0
10.2307/1522002|*Parturition|C0005615|927|MH|RtM via: Egg Laying|TI|MM|1275^6^0
10.2307/1522002|California|C0006754|606|MH|RtM via: California;RtM via: Marin County, CA|TI|MM|176^10^0;162^12^0
10.2307/1522003|Animals|C0003062|17107|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Clams;CT Treecode Lookup: B01.050.500.644 (Clams);Spisula;CT Treecode Lookup: B01.050.500.644 (Spisula)||MM;RC
10.2307/1522003|*Spisula|C0998156|4610|MH|RtM via: Spisula solidissima;Forced Leaf Node Lookup:spisulas|TI|MM|146^19^0
10.2307/1522003|New Jersey|C0027971|2159|MH|RtM via: New Jersey;Forced Leaf Node Lookup:new jersey|TI|MM;RC|91^10^0
10.2307/1522003|*Birds|C0005595|16107|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM;RC|545^5^0
10.2307/1522003|*Charadriiformes|C0325773|10509|MH|RtM via: Calidris alpina|TI|MM;RC|308^6^0;203^15^0;195^6^0
10.2307/1522003|*Clams|C0008894|9552|ET|Entry Term Replacement for "Bivalvia";RtM via: Clams;RtM via: Pseudocardium sachalinense|TI|MM;RC|467^5^0;339^5^0;268^5^0;401^10^0;134^10^0
10.2307/1522003|*Census|C0007663|3867|ET|Entry Term Replacement for "Censuses";RtM via: Censuses|TI|MM|371^8^0
10.2307/1522003|Atlantic Ocean|C0004167|2511|MH|RtM via: Atlantic Ocean|TI|MM|67^14^0
10.2307/1522004|Animals|C0003062|8617|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes)||MM;RC
10.2307/1522004|*Charadriiformes|C0325773|6997|MH|RtM via: Sterna anaethetus;RtM via: Sterna bengalensis;Forced Leaf Node Lookup:tern;checkForceMH Boosted|TI|MM|75^12^0;89^17^0;113^19^0;134^18^0;83^4^0;128^4^0
10.2307/1522004|China|C0008115|974|MH|RtM via: China;Forced Leaf Node Lookup:guangdong province|TI|MM|247^5^0;227^18^0
10.2307/1522004|*Birds|C0005595|7617|MH|RtM via: Oceanodroma monorhis;Forced Non-Leaf Node Lookup:petrel|TI|MM;RC|52^20^0;28^22^0;44^6^0
10.2307/1522005|Animals|C0003062|84634|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes)||MM;RC
10.2307/1522005|*Charadriiformes|C0325773|83634|MH|RtM via: Laridae;RtM via: Larus canus;Forced Leaf Node Lookup:gulls;checkForceMH Boosted|TI|MM;RC|437^5^0;192^5^0;294^8^0;151^11^0;298^4^0
10.2307/1522005|*Rivers|C0337050|19615|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|211^5^0
10.2307/1522005|*Rubber|C0035918|14369|MH|RtM via: Rubber;Forced Leaf Node Lookup:rubber;checkForceMH Boosted|TI|MM|248^6^0;28^6^0
10.2307/1522005|*Birds|C0005595|50682|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM;RC|476^5^0
10.2307/1522005|*Fishes|C0016163|15624|MH|RtM via: Clupea harengus (organism);RtM via: Clupeidae;RtM via: Herring|TI|MM|168^7^0
10.2307/1522005|*Breeding|C0006159|11517|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM;RC|127^8^0
10.2307/1522005|*Seafood|C0206208|5688|MH|RtM via: Herring (Dietary)|TI|MM|168^7^0
10.2307/1522005|Germany|C0017480|6|MH|RtM via: Germany|TI|MM|232^7^0
10.2307/1522006|Humans|C0086418|9232|CT|Forced Leaf Node Lookup:humans;CT Text Lookup: human|TI|MM;RC|116^5^0;148^5^0
10.2307/1522006|Animals|C0003062|9232|CT|Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);Mustelidae;CT Treecode Lookup: B01.050.150.900.649.313.750 (Mustelidae);Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds)|TI|MM
10.2307/1522006|*Charadriiformes|C0325773|6598|MH|RtM via: Sterna hirundinacea;Forced Leaf Node Lookup:terns;checkForceMH Boosted|TI|MM|763^19^0;222^20^0;244^19^0;237^5^0
10.2307/1522006|*Survival Rate|C0038954|4565|MH|RtM via: Survival Rate;Forced Leaf Node Lookup:survival rates|TI|MM|505^14^0
10.2307/1522006|*Predatory Behavior|C0032942|8232|MH|RtM via: Predatory Behavior|TI|MM|350^9^0
10.2307/1522006|*Mustelidae|C0325034|8088|MH|RtM via: Mustelidae;RtM via: Galictis cuja;RtM via: Grison|TI|MM|365^8^0;916^13^0;403^13^0;395^6^0
10.2307/1522006|*Birds|C0005595|6552|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM|662^4^0;65^5^0
10.2307/1522006|*Breeding|C0006159|1992|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|45^8^0
10.2307/1522007|Female|C0086287|15457|CT|CT Text Lookup: female|TI|MM;RC|333^6^0
10.2307/1522007|Animals|C0003062|15457|CT|Geese;CT Treecode Lookup: B01.050.150.900.248 (Geese)||MM;RC
10.2307/1522007|*Basal Metabolism|C4520923|13790|MH|RtM via: Basal metabolic rate;Forced Leaf Node Lookup:basal metabolism|TI|MM;RC|563^3^0;540^21^0
10.2307/1522007|*Temperature|C0039476|11966|MH|RtM via: Temperature;Forced Leaf Node Lookup:temperatures|TI|MM;RC|453^11^0
10.2307/1522007|*Geese|C0017225|7969|MH|RtM via: Anser albifrons;RtM via: Anser albifrons albifrons;Forced Leaf Node Lookup:gooses;checkForceMH Boosted|TI|MM;RC|120^27^0;149^25^0;142^5^0
10.2307/1522007|*Thermoregulation|C0005905|14457|ET|Entry Term Replacement for "Body Temperature Regulation";RtM via: Physiologic Thermoregulation;Forced Non-Leaf Node Lookup:thermoregulations|TI|MM;RC|641^16^0
10.2307/1522007|*Thermal Conductivity|C0039803|12678|MH|RtM via: Thermal Conductivity|TI|MM|759^19^0
10.2307/1522007|*Physical Phenomena|C2350446|834|MH|RtM via: Energy, Physics|TI|MM|240^6^0
10.2307/1522007|*Research|C0035168|129|MH|RtM via: Study|TI|MM|181^7^0
10.2307/1522007|Russia|C0035970|129|MH|RtM via: Russia|TI|MM|48^6^0
10.2307/1522008|Animals|C0003062|81226|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Raptor;CT Treecode Lookup: B01.050.150.900.248 (Raptor);Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);CT Text Lookup: charadriiformes|TI|MM;RC|113^15^0
10.2307/1522008|*Charadriiformes|C0325773|80226|MH|RtM via: Charadriiformes;Forced Leaf Node Lookup:charadriiformes;checkForceMH Boosted|TI|MM;RC|113^15^0
10.2307/1522008|*Raptor|C0600536|46548|ET|Entry Term Replacement for "Raptors";RtM via: Raptors;checkForceMH Boosted|TI|MM|282^6^0;242^6^0
10.2307/1522008|*Seasons|C0036497|22050|MH|RtM via: Seasons;RtM via: Winter;Forced Leaf Node Lookup:seasons|TI|MM;RC|562^6^0;310^6^0;77^9^0
10.2307/1522008|Puerto Rico|C0034044|7761|MH|RtM via: Puerto Rico;Forced Leaf Node Lookup:puerto rico|TI|MM|153^11^0
10.2307/1522008|*Birds|C0005595|60066|MH|RtM via: Aves;RtM via: Order Ciconiiformes;Forced Non-Leaf Node Lookup:birds|TI|MM;RC|335^5^0;113^15^0;381^5^0
10.2307/1522008|Predatory Behavior|C0032942|1595|MH|||RC
10.2307/1522008|*Record|C0034869|966|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|226^8^0
10.2307/1522207|Animals|C0003062|133459|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);CT Text Lookup: charadriiformes|TI|MM;RC|311^15^0
10.2307/1522207|*Charadriiformes|C0325773|132459|MH|RtM via: Charadriiformes;RtM via: Chlidonias niger;RtM via: Phalaropus lobatus;Forced Leaf Node Lookup:charadriiformes;Forced Leaf Node Lookup:tern;checkForceMH Boosted|TI|MM;RC|311^15^0;827^10^0;422^10^0;434^16^0;805^20^0;474^18^0;452^20^0;428^4^0;833^4^0
10.2307/1522207|*Seasons|C0036497|10337|MH|Forced Leaf Node Lookup:seasonal|TI|MM;RC|680^8^0
10.2307/1522207|Peru|C0031238|10200|MH|RtM via: Peru;Forced Leaf Node Lookup:peru|TI|MM;RC|1605^4^0;1289^4^0
10.2307/1522207|Niger|C0028074|10182|MH|Forced Leaf Node Lookup:niger|TI|MM|445^5^0
10.2307/1522207|*Birds|C0005595|87462|MH|RtM via: Family Hydrobatidae (organism);RtM via: Oceanodroma microsoma;RtM via: Oceanodroma tethys;RtM via: Order Ciconiiformes;RtM via: Brown booby;RtM via: Pelecanus occidentalis;RtM via: Oceanodroma melania;Forced Non-Leaf Node Lookup:avifauna|TI|MM;RC|251^13^0;785^18^0;537^18^0;311^15^0;966^13^0;856^11^0;601^11^0;614^16^0;985^14^0;872^13^0;636^13^0;651^22^0;945^19^0;516^19^0;1216^8^0;1476^8^0;70^8^0;1434^8^0;120^7^0;257^6^0;528^6^0;797^6^0;957^6^0
10.2307/1522207|*Oceans|C0028814|45744|ET|Entry Term Replacement for "Oceans and Seas";RtM via: Oceans|TI|MM;RC|1801^7^0;1352^7^0
10.2307/1522207|*Breeding|C0006159|5790|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|1836^8^0;1548^8^0
10.2307/1522207|Panama|C0030266|6|MH|RtM via: Panama|TI|MM|1463^6^0;1147^6^0;86^6^0
10.2307/1522208|Mice|C0026809|110205|CT|CT Text Lookup: house mice;CT Text Lookup: mice;CT Text Lookup: mus;CT Text Lookup: mus musculus|TI|MM;RC|1167^10^0;1173^4^0;1179^3^0
10.2307/1522208|Animals|C0003062|110205|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);CT Text Lookup: house mice;CT Text Lookup: mice;CT Text Lookup: mus;CT Text Lookup: mus musculus;CT Text Lookup: rabbit;CT Text Lookup: wing|TI|MM;RC|1167^10^0;1173^4^0;1179^3^0;1230^7^0;991^4^0
10.2307/1522208|Rabbits|C3887509|110205|CT|RtM via: Rabbits;RtM via: Old World rabbit;CT Text Lookup: rabbit|TI|MM;RC|1230^7^0
10.2307/1522208|*Charadriiformes|C0325773|109205|MH|RtM via: Laridae;RtM via: Larus cachinnans;Forced Leaf Node Lookup:gulls;checkForceMH Boosted|TI|MM;RC|1489^5^0;1288^16^0;1267^19^0;1281^5^0
10.2307/1522208|*Islands|C0022130|44215|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM;RC|631^6^0;316^7^0;133^7^0
10.2307/1522208|*Seasons|C0036497|13173|MH|Forced Leaf Node Lookup:seasonal|TI|MM;RC|1610^8^0
10.2307/1522208|Portugal|C0032729|12673|MH|RtM via: Madeira Island;Forced Leaf Node Lookup:madeira island|TI|MM;RC|347^14^0
10.2307/1522208|*Birds|C0005595|71145|MH|RtM via: Aves;RtM via: Pelagodroma marina;Forced Non-Leaf Node Lookup:seabirds|TI|MM;RC|1522^5^0;647^5^0;587^24^0;58^18^0;32^24^0;1352^8^0;50^6^0;605^6^0
10.2307/1522208|*Predatory Behavior|C0032942|44277|MH|RtM via: Predatory Behavior|TI|MM;RC|1154^9^0
10.2307/1522208|*Population Dynamics|C0032667|27159|MH|RtM via: Population Dynamics;Forced Non-Leaf Node Lookup:population dynamics|TI|MM;RC|491^19^0
10.2307/1522208|*Breeding|C0006159|16830|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM;RC|1755^8^0;1529^8^0;1413^8^0;1095^8^0;563^8^0;186^8^0;78^6^0
10.2307/1522209|Animals|C0003062|19185|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Spheniscidae;CT Treecode Lookup: B01.050.150.900.248 (Spheniscidae);Reptiles;CT Treecode Lookup: B01.050.150.900.833 (Reptiles)||MM;RC
10.2307/1522209|*Charadriiformes|C0325773|18185|MH|RtM via: Larus dominicanus;RtM via: Sterna hirundinacea;Forced Leaf Node Lookup:gulls;Forced Leaf Node Lookup:terns;checkForceMH Boosted|TI|MM|2315^17^0;1787^9^0;801^10^0;503^10^0;515^17^0;2578^19^0;731^20^0;753^19^0;508^5^0;806^5^0;746^5^0;1792^4^0
10.2307/1522209|*Spheniscidae|C0325331|14406|MH|RtM via: Spheniscus magellanicus;Forced Leaf Node Lookup:spheniscus magellanicus;Forced Leaf Node Lookup:magellanic penguin;checkForceMH Boosted|TI|MM|3490^23^0;1476^18^0;1496^23^0
10.2307/1522209|*Fisheries|C0016162|10951|MH|RtM via: Fisheries;Forced Leaf Node Lookup:fisheries;Forced Leaf Node Lookup:fishery|TI|MM|1599^9^0;1068^9^0;862^9^0;792^7^0;366^7^0;174^9^0
10.2307/1522209|*Kelp|C0751493|5560|MH|Forced Leaf Node Lookup:kelp;checkForceMH Boosted|TI|MM|503^4^0;801^4^0;1787^4^0
10.2307/1522209|*Reptiles|C0035161|9159|MH|RtM via: Chelus fimbriata|TI|MM|2288^5^0;491^5^0
10.2307/1522209|*Food|C0016452|3687|MH|RtM via: Food|TI|MM|240^4^0
10.2307/1522209|*Record|C0034869|3648|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|306^8^0
10.2307/1522210|Animals|C0003062|31349|CT|Ducks;CT Treecode Lookup: B01.050.150.900.248 (Ducks)||MM;RC
10.2307/1522210|Humans|C0086418|31349|CT|Forced Leaf Node Lookup:humans;CT Text Lookup: human|TI|MM;RC|1253^5^0;1521^5^0
10.2307/1522210|origen|C0069643|22409|NM|RtM via: origen;Forced SCR Leaf Node Lookup:origen|TI|MM|3265^6^0
10.2307/1522210|*Ducks|C0013268|18871|MH|RtM via: Cairina moschata;Forced Leaf Node Lookup:ducks;checkForceMH Boosted|TI|MM|1994^16^0;344^16^0;329^13^0;337^5^0
10.2307/1522210|*Censuses|C0007663|13562|MH|RtM via: Censuses;Forced Leaf Node Lookup:censuses|TI|MM|487^8^0
10.2307/1522210|Peru|C0031238|5584|MH|Forced Leaf Node Lookup:peruvian|TI|MM;RC|191^8^0
10.2307/1522210|*Ships|C0036971|5534|MH|Forced Leaf Node Lookup:boat|TI|MM|882^4^0
10.2307/1522210|Weyers acrofacial dysostosis|C0457013|30349|NM|RtM via: Weyers acrofacial dysostosis|TI|MM|1608^6^0
10.2307/1522210|*Limb Deformities, Congenital|C0206762|30348|HM|RtM via: Weyers acrofacial dysostosis|TI|MM|1608^6^0
10.2307/1522210|*Tooth Abnormalities|C0040427|27261|HM|RtM via: Weyers acrofacial dysostosis|TI|MM|1608^6^0
10.2307/1522210|*Azocines|C0004502|22408|HM|RtM via: origen|TI|MM|3265^6^0
10.2307/1522210|*Abnormalities, Multiple|C0000772|21090|HM|RtM via: Weyers acrofacial dysostosis|TI|MM|1608^6^0
10.2307/1522211|Animals|C0003062|135479|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Ducks;CT Treecode Lookup: B01.050.150.900.248 (Ducks);Mussel;CT Treecode Lookup: B01.050.500.644 (Mussel)||MM;RC
10.2307/1522211|*Clutch Size|C1568397|134479|MH|RtM via: Clutch Size;Forced Leaf Node Lookup:clutch sizes|TI|MM;RC|1708^11^0;1115^11^0;919^12^0;819^11^0;635^11^0;387^11^0;32^11^0;248^11^0;553^11^0;806^11^0
10.2307/1522211|*Ducks|C0013268|64303|MH|RtM via: Ducks;RtM via: Eider;RtM via: Somateria mollissima;Forced Leaf Node Lookup:ducks;checkForceMH Boosted|TI|MM|420^5^0;1549^5^0;1432^5^0;51^12^0;65^20^0;586^5^0
10.2307/1522211|*Sewage|C0036861|34366|MH|RtM via: Sewage;Forced Leaf Node Lookup:sewage;checkForceMH Boosted|TI|MM|1511^6^0
10.2307/1522211|*Sand|C4759711|28354|MH|RtM via: Sand;Forced New Lookup:sands;checkForceMH Boosted|TI|MM|964^5^0
10.2307/1522211|Netherlands|C0027778|14177|MH|RtM via: Netherlands;Forced Leaf Node Lookup:netherlands|TI|MM|1011^11^0
10.2307/1522211|United Kingdom|C0041700|14171|MH|Forced Leaf Node Lookup:uk|TI|MM|129^2^0
10.2307/1522211|*Birds|C0005595|90951|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM;RC|1344^5^0;1144^5^0;661^5^0;702^5^0;1211^5^0
10.2307/1522211|*Eggs|C0013710|20598|MH|RtM via: Egg Food Product|TI|MM;RC|289^4^0
10.2307/1522211|*Mussel|C0026871|18531|ET|Entry Term Replacement for "Bivalvia";RtM via: Mussels|TI|MM|1532^6^0
10.2307/1522211|*Breeding|C0006159|10752|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM;RC|1660^8^0;871^8^0
10.2307/1522211|*Islands|C0022130|12543|MH|RtM via: Islands|TI|MM|1452^6^0;1063^6^0;105^6^0
10.2307/1522212|United States|C0041703|19702|CT|Forced Leaf Node Lookup:in the usa|TI|MM|244^10^0
10.2307/1522212|Animals|C0003062|19702|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior)|TI|MM
10.2307/1522212|*Charadriiformes|C0325773|18702|MH|RtM via: Laridae;RtM via: Sterna dougallii;Forced Leaf Node Lookup:gulls;Forced Leaf Node Lookup:tern;checkForceMH Boosted|TI|MM|1512^5^0;1387^5^0;69^12^0;83^16^0;77^4^0
10.2307/1522212|*Population Density|C0032665|7886|MH|RtM via: Population Size;Forced Leaf Node Lookup:population sizes|TI|MM|1691^15^0
10.2307/1522212|*Islands|C0022130|6386|MH|RtM via: Islands;Forced Leaf Node Lookup:islands|TI|MM|341^7^0
10.2307/1522212|New York|C0027976|2276|MH|RtM via: New York (geographic location);Forced Leaf Node Lookup:new york|TI|MM|417^8^0
10.2307/1522212|*Sex Ratio|C0036893|6600|MH|RtM via: Sex Ratio|TI|MM|1629^10^0;949^9^0
10.2307/1522212|*Breeding|C0006159|4188|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|1123^8^0;748^8^0;545^8^0;314^8^0;132^8^0
10.2307/1522212|*Predatory Behavior|C0032942|2520|MH|RtM via: Predatory Behavior|TI|MM|1357^9^0
10.2307/1522212|*Research|C0035168|366|MH|RtM via: Study|TI|MM|462^7^0
10.2307/1522212|Massachusetts|C0024874|12|MH|RtM via: Massachusetts (geographic location)|TI|MM|439^13^0
10.2307/1522213|Animals|C0003062|160894|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Ducks;CT Treecode Lookup: B01.050.150.900.248 (Ducks);Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes);Animals, Wild;CT Treecode Lookup: B01.050.050 (Animals, Wild)||MM;RC
10.2307/1522213|*Charadriiformes|C0325773|159894|MH|RtM via: Laridae;RtM via: Great black-backed gull;RtM via: Larus argentatus;RtM via: Genus Larus (organism);Forced Leaf Node Lookup:gulls;checkForceMH Boosted|TI|MM;RC|1722^5^0;1429^4^0;1019^5^0;1513^24^0;1389^24^0;808^24^0;834^13^0;1479^13^0;827^5^0;1408^5^0;1487^5^0;1532^5^0;1834^5^0
10.2307/1522213|*Ducks|C0013268|25212|MH|RtM via: Somateria mollissima;RtM via: Eider;Forced Leaf Node Lookup:duckling;checkForceMH Boosted|TI|MM|55^13^0;70^20^0;645^5^0;222^8^0;492^8^0;670^8^0;864^8^0;1026^8^0;1189^8^0;1338^8^0
10.2307/1522213|Maine|C0024497|20928|MH|RtM via: Maine (geographic location);Forced Leaf Node Lookup:maine|TI|MM|1115^5^0
10.2307/1522213|New Brunswick|C0027963|11292|MH|RtM via: New Brunswick;Forced Leaf Node Lookup:new brunswick|TI|MM|1570^13^0
10.2307/1522213|*Bays|C3203003|10197|MH|Forced Leaf Node Lookup:bay|TI|MM|99^3^0;261^3^0;536^3^0;1139^3^0;1554^3^0;1847^3^0
10.2307/1522213|*Predatory Behavior|C0032942|16275|MH|RtM via: Predatory Behavior|TI|MM|1370^9^0;789^9^0
10.2307/1522213|*Fishes|C0016163|14031|MH|RtM via: Clupea harengus (organism);RtM via: Clupeidae;RtM via: Herring|TI|MM|960^15^0;951^7^0
10.2307/1522213|New England|C0027965|11484|MH|RtM via: New England;Forced Non-Leaf Node Lookup:new england|TI|MM|1779^11^0
10.2307/1522213|*Animals, Wild|C0003070|11454|MH|RtM via: Animals, Wild|TI|MM|1272^8^0
10.2307/1522213|*Breeding|C0006159|8418|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM;RC|1538^8^0;1080^8^0;385^8^0;307^8^0;32^8^0;183^8^0
10.2307/1522213|*Islands|C0022130|9849|MH|RtM via: Islands|TI|MM|1221^6^0
10.2307/1522214|Animals|C0003062|28601|CT|Crows;CT Treecode Lookup: B01.050.150.900.248 (Crows);Predatory Behavior;CT Treecode Lookup: F01.145.113.111 (Predatory Behavior);Predatory Behavior;CT Treecode Lookup: F01.145.113.252 (Predatory Behavior)|TI|MM
10.2307/1522214|*Clutch Size|C1568397|27601|MH|RtM via: Clutch Size;Forced Leaf Node Lookup:clutch sizes|TI|MM|486^11^0
10.2307/1522214|*Crows|C0326391|18309|MH|RtM via: Crow;RtM via: Corvus cornix;Forced Leaf Node Lookup:corvus;Forced Leaf Node Lookup:crows;checkForceMH Boosted|TI|MM|758^5^0;765^20^0
10.2307/1522214|Italy|C0022277|6001|MH|RtM via: Italy;RtM via: Italians;Forced Leaf Node Lookup:italians|TI|MM|1149^5^0;209^5^0;1228^7^0
10.2307/1522214|*Survival Rate|C0038954|4879|MH|RtM via: Survival Rate;Forced Leaf Node Lookup:survival rates|TI|MM|545^13^0
10.2307/1522214|*Rivers|C0337050|4123|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|157^5^0
10.2307/1522214|*Reproduction|C0035150|7557|MH|RtM via: Reproduction|TI|MM|950^12^0
10.2307/1522214|*Eggs|C0013710|4674|MH|RtM via: Egg Food Product|TI|MM|721^3^0;516^4^0;345^3^0
10.2307/1522214|*Predatory Behavior|C0032942|4185|MH|RtM via: Predatory Behavior|TI|MM|738^9^0
10.2307/1522214|*Breeding|C0006159|3462|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM|1266^8^0;1199^8^0;43^8^0;1330^8^0
10.2307/1522214|Europe|C0015176|2781|MH|RtM via: Europe|TI|MM|1058^6^0
10.2307/1522215|Animals|C0003062|30787|CT|Birds;CT Treecode Lookup: B01.050.150.900.248 (Birds);Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes)||MM;RC
10.2307/1522215|Iceland|C0020750|2740|MH|RtM via: Iceland;Forced Leaf Node Lookup:iceland|TI|MM|227^7^0
10.2307/1522215|*Birds|C0005595|29787|MH|RtM via: Aves;Forced Non-Leaf Node Lookup:birds|TI|MM;RC|864^5^0;585^4^0;192^5^0
10.2307/1522215|*Charadriiformes|C0325773|17172|MH|RtM via: Cepphus grylle|TI|MM;RC|85^15^0;102^14^0
10.2307/1522215|*Breeding|C0006159|8418|MH|RtM via: Breeding;Forced Non-Leaf Node Lookup:breedings|TI|MM;RC|676^8^0;495^8^0;752^8^0
10.2307/1522216|Animals|C0003062|30931|CT|Bird;CT Treecode Lookup: B01.050.150.900.248 (Bird);Chickens;CT Treecode Lookup: B01.050.150.900.248 (Chickens)||MM;RC
10.2307/1522216|*Sexual Dimorphism|C0036866|23427|ET|Entry Term Replacement for "Sex Characteristics";RtM via: Sex Characteristics;RtM via: sexual dimorphism (cellular)|TI|MM;RC|100^17^0
10.2307/1522216|*Genomics|C0887950|8289|MH|RtM via: Genomics;Forced Non-Leaf Node Lookup:genomics|TI|MM|179^7^0
10.2307/1522216|*Chickens|C0008051|4602|MH|RtM via: Young chicken|TI|MM|162^6^0
10.2307/1522217|Animals|C0003062|154756|CT|Charadriiformes;CT Treecode Lookup: B01.050.150.900.248 (Charadriiformes);Fishes;CT Treecode Lookup: B01.050.150.900.493 (Fishes)||MM;RC
10.2307/1522217|*Charadriiformes|C0325773|153756|MH|RtM via: Laridae;RtM via: Larus argentatus;RtM via: Great black-backed gull;RtM via: Piping plover;RtM via: Genus Larus (organism);Forced Leaf Node Lookup:gulls;checkForceMH Boosted|TI|MM;RC|1210^4^0;1084^4^0;807^5^0;800^5^0;647^5^0;405^4^0;575^4^0;465^5^0;165^4^0;245^16^0;1307^24^0;219^24^0;77^18^0;62^13^0;238^5^0;1326^5^0
10.2307/1522217|*Seasons|C0036497|30594|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM;RC|913^6^0
10.2307/1522217|New York|C0027976|22434|MH|RtM via: New York (geographic location);Forced Leaf Node Lookup:new york|TI|MM;RC|316^8^0
