C:\Users\manuh\Documents\sterner lab\AuthorDisambiguation\r_table\results\mesh\systgeogplan\input.txt
10.2307/3668585|Botany|C0006038|655|MH|||RC
10.2307/3668586|Humans|C0086418|1000|CT|Forced Humans: Students||MM
10.2307/3668607|*Abstracting and Indexing|C0000858|603|MH|RtM via: Index|TI|MM|379^7^0
10.2307/3668607|*Publications|C0034036|417|MH|RtM via: Leaflet|TI|MM|478^7^0;371^7^0
10.2307/3668607|*Chromosomes|C0008633|1065|MH|RtM via: Chromosome number;Forced Non-Leaf Node Lookup:chromosome|TI|MM|203^18^0
10.2307/3668607|Russia|C0035970|18|MH|RtM via: Russia|TI|MM|176^6^0
10.2307/3668608|*Clematis|C0330256|50069|MH|RtM via: Clematis;Forced Leaf Node Lookup:clematis;checkForceMH Boosted|TI|MM;RC|121^8^0
10.2307/3668608|*Ranunculaceae|C0446214|22987|MH|RtM via: Ranunculaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:ranunculaceae|TI|MM|134^13^0
10.2307/3668608|*Checklist|C1707357|3160|MH|RtM via: Checklist;Forced Leaf Node Lookup:checklists|TI|MM|944^9^0
10.2307/3668608|North America|C0028405|348|MH|RtM via: North America;Forced Non-Leaf Node Lookup:north america|TI|MM|254^13^0
10.2307/3668608|*Oligohymenophorea|C0085334|285|MH|RtM via: Campanella <Ciliata>|TI|MM|619^10^0;416^10^0
10.2307/3668608|*Color|C0009393|186|MH|RtM via: Gray color|TI|MM|475^4^0
10.2307/3668609|*Salsola|C0330362|54912|MH|RtM via: Salsola;Forced Leaf Node Lookup:salsolas;checkForceMH Boosted|TI|MM;RC|66^7^0;46^13^0;52^7^0;162^7^0
10.2307/3668609|*Fruit|C0016767|4407|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM|377^5^0
10.2307/3668609|GZMB protein, human|C1567160|16291|NM|RtM via: GZMB protein, human|TI|MM|60^4^0
10.2307/3668609|*Granzymes|C1333877|16290|HM|RtM via: GZMB protein, human|TI|MM|60^4^0
10.2307/3668609|*Chenopodiaceae|C0446248|2619|MH|RtM via: Kali <angiosperm>|TI|MM|174^4^0
10.2307/3668609|*Survey|C0038951|246|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|435^6^0
10.2307/3668610|Female|C0086287|150222|CT|Ovary;CT Treecode Lookup: A05.360.319 (Ovary);Placentation;CT Treecode Lookup: G08.686.784.769.491 (Placentation)|TI|MM
10.2307/3668610|Pregnancy|C0032961|1000|CT|Forced Treecode Turn Back On: G08.686.784.769.491 (Placentation)||MM
10.2307/3668610|Humans|C0086418|1000|CT|Forced Treecode Turn Back On: G08.686.784.769 (Pregnancy)||MM
10.2307/3668610|*Alstroemeriaceae|C1019677|149222|ET|Entry Term Replacement for "Liliales";RtM via: Alstroemeriaceae;RtM via: Leontochir;RtM via: Bomarea;checkForceMH Boosted|TI|MM;RC|791^16^0;901^10^0;883^7^0
10.2307/3668610|*Alstroemeria|C1019678|84286|MH|RtM via: Alstroemeria;Forced Leaf Node Lookup:alstroemeria;checkForceMH Boosted|TI|MM;RC|866^12^0;283^12^0;120^12^0
10.2307/3668610|*Rhizome|C0949790|16349|MH|RtM via: Rhizome;Forced Leaf Node Lookup:rhizomes|TI|MM|469^7^0
10.2307/3668610|*Ovary|C0029939|12602|MH|RtM via: Ovary;RtM via: Both ovaries;Forced Leaf Node Lookup:ovary|TI|MM|419^5^0
10.2307/3668610|*Placentation|C0032058|11264|MH|RtM via: Placentation;Forced Leaf Node Lookup:placentation|TI|MM|392^12^0
10.2307/3668610|*Seeds|C0036563|16188|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM;RC|657^4^0;626^5^0
10.2307/3668610|*Pollen Grains|C0032385|9294|ET|Entry Term Replacement for "Pollen";RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen grains|TI|MM|723^13^0
10.2307/3668610|*Starch|C0038179|6375|MH|RtM via: Starch|TI|MM|494^7^0
10.2307/3668610|*Plant Roots|C0242726|5865|MH|RtM via: Plant Roots|TI|MM|508^5^0
10.2307/3668519|*Fabaceae|C0023263|14383|MH|RtM via: Fabaceae;RtM via: Sophoreae;RtM via: Leptolobium panamense;RtM via: Sweetia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:fabaceae|TI|MM;RC|341^8^0;369^9^0;269^18^0;120^7^0
10.2307/3668519|*Trees|C0040811|11165|MH|RtM via: Trees (plant);Forced Leaf Node Lookup:tree;checkForceMH Boosted|TI|MM;RC|183^4^0
10.2307/3668519|Congo|C0009738|10027|MH|RtM via: Congo;Forced Leaf Node Lookup:congo|TI|MM|86^5^0
10.2307/3668519|*Fire|C0016141|4656|ET|Entry Term Replacement for "Fires";RtM via: Fire - disasters|TI|MM|242^4^0
10.2307/3668519|*Chromatography, Gas|C0008555|321|MH|RtM via: Chemical analysis|TI|MM|28^17^0
10.2307/3668519|*Names|C0027365|255|MH|RtM via: Name|TI|MM|263^5^0
10.2307/3668519|Central America|C0007674|147|MH|RtM via: Central America;Forced Non-Leaf Node Lookup:central america|TI|MM|212^15^0
10.2307/3668520|*Labiatae|C0524904|13650|ET|Entry Term Replacement for "Lamiaceae";RtM via: Lamiaceae;RtM via: Solenostemon;checkForceMH Boosted;Forced Non-Leaf Node Lookup:labiatae|TI|MM|440^8^0;399^12^0
10.2307/3668520|*Parks, Recreational|C0237771|3693|MH|RtM via: National Parks;Forced Leaf Node Lookup:national parks|TI|MM|89^13^0
10.2307/3668520|Congo|C0009738|2193|MH|RtM via: Congo;Forced Leaf Node Lookup:congo|TI|MM;RC|113^5^0;122^5^0;204^5^0
10.2307/3668520|*Tracheophyta|C0682475|18213|MH|RtM via: Tracheophyta|TI|MM|41^14^0
10.2307/3668521|Senegal|C0036644|250|MH|RtM via: Senegal;Forced Leaf Node Lookup:senegal|TI|MM|104^7^0
10.2307/3668521|*Survey|C0038951|2913|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM;RC|173^8^0
10.2307/3668522|*Euphorbiaceae|C0446243|3822|MH|RtM via: Euphorbiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:euphorbiaceae|TI|MM|325^13^0
10.2307/3668522|Democratic Republic of the Congo|C0043444|0|MH|Geo Lookup:kinshasas|TI;AB|MM;RC
10.2307/3668522|*Ecology|C0013546|8421|MH|RtM via: Ecology|TI|MM;RC|266^7^0
10.2307/3668522|*Malpighiales|C0996745|5910|MH|RtM via: Bridelia|TI|MM|297^8^0
10.2307/3668522|*Confusion|C0009676|2400|MH|RtM via: Confusion;RtM via: Clouded consciousness|TI|MM|119^8^0
10.2307/3668522|*Anacardiaceae|C0969715|147|MH|RtM via: Sorindeia|TI|MM|133^9^0;45^9^0
10.2307/3668523|Belgium|C0004950|2593|MH|RtM via: Belgium;Forced Leaf Node Lookup:belgium|TI|MM|119^7^0
10.2307/3668523|*Gardens|C4019428|2587|MH|Forced Leaf Node Lookup:gardens|TI|MM|109^6^0
10.2307/3668523|*Flower|C0330090|16437|ET|Entry Term Replacement for "Flowers";RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|879^6^0
10.2307/3668523|*Seasons|C0036497|8544|MH|RtM via: Winter|TI|MM;RC|980^6^0
10.2307/3668523|*Reproduction|C0035150|6618|MH|RtM via: flowering|TI|MM;RC|952^9^0;551^9^0;525^9^0;454^9^0;211^9^0
10.2307/3668523|*Climatology|C2350604|4833|ET|Entry Term Replacement for "Meteorology";RtM via: Climatology|TI|MM|689^14^0
10.2307/3668523|*Longitudinal Studies|C0023981|96|MH|RtM via: Continuous|TI|MM|886^12^0
10.2307/3668524|Mauritius|C0024944|7103|MH|RtM via: Mauritius;Forced Leaf Node Lookup:mauritius|TI|MM|187^9^0
10.2307/3668524|Comoros|C0009490|6779|MH|RtM via: Mayotte;Forced Leaf Node Lookup:mayotte|TI|MM|586^7^0;163^7^0
10.2307/3668524|Madagascar|C0024443|6749|MH|RtM via: Madagascar;Forced Leaf Node Lookup:madagascar|TI|MM|548^10^0;492^10^0;129^10^0
10.2307/3668524|*Apocynaceae|C0949900|1376|MH|RtM via: Apocynaceae;RtM via: Landolphia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:apocynaceae|TI|MM|76^11^0;455^10^0;54^10^0
10.2307/3668524|*Cyclophosphamide|C0010583|480|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|641^4^0
10.2307/3668524|*Cisplatin|C0008838|291|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|641^4^0
10.2307/3668524|*Behavior Therapy|C0004933|183|MH|RtM via: System Support Mapping|TI|MM|275^4^0
10.2307/3668524|*Doxorubicin|C0013089|174|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|641^4^0
10.2307/3668525|Gabon|C0016910|162|MH|RtM via: Gabon;Forced Leaf Node Lookup:gabon|TI|MM;RC|161^5^0;68^5^0
10.2307/3668525|*Chrysobalanaceae|C1081377|24|MH|RtM via: Dactyladenia|TI|MM|109^12^0;28^12^0
10.2307/3668526|*Anacardiaceae|C0969715|7564|MH|RtM via: Anacardiaceae;RtM via: Sorindeia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:anacardiaceae|TI|MM|157^13^0;63^13^0;137^9^0;43^9^0
10.2307/3668526|Gabon|C0016910|325|MH|RtM via: Gabon;Forced Leaf Node Lookup:gabon|TI|MM;RC|175^5^0;83^5^0
10.2307/3668527|Humans|C0086418|181132|CT|African Continental Ancestry Group;CT Treecode Lookup: M01.686 (African Continental Ancestry Group)|TI|MM
10.2307/3668527|*Coffea|C0085952|180132|MH|RtM via: Coffea plant;Forced Leaf Node Lookup:coffeas;checkForceMH Boosted|TI|MM;RC|404^6^0;139^6^0
10.2307/3668527|*Rubiaceae|C0524885|82119|MH|RtM via: Rubiaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rubiaceae|TI|MM;RC|418^9^0
10.2307/3668527|*Angiosperms|C0330209|20352|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;checkForceMH Boosted;Forced Non-Leaf Node Lookup:angiosperms|TI|MM|445^11^0
10.2307/3668527|*Coffee|C0009237|21354|MH|RtM via: Coffee|TI|MM|404^6^0;139^6^0
10.2307/3668527|*Caves|C0600051|4611|MH|RtM via: Cavern|TI|MM;RC|232^4^0
10.2307/3668527|*Forest|C0086312|4107|ET|Entry Term Replacement for "Forests";RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|194^6^0
10.2307/3668527|*African Continental Ancestry Group|C1257891|87|MH|RtM via: Central African|TI|MM|87^15^0
10.2307/3668527|Democratic Republic of the Congo|C0043444|1000|MH|Geo Lookup:kinshasas||MM
10.2307/3668528|Animals|C0003062|1974|CT|Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda)||MM;RC
10.2307/3668528|*Trichomes|C3658255|974|MH|RtM via: Trichomes;Forced Leaf Node Lookup:trichomes|TI|MM|341^9^0
10.2307/3668528|*Gastropoda|C0324023|510|MH|RtM via: Corolla (genus)|TI|MM|333^7^0
10.2307/3668528|*Rubiaceae|C0524885|177|MH|RtM via: Leptactina|TI|MM|86^10^0
10.2307/3668528|Democratic Republic of the Congo|C0043444|1000|MH|Geo Lookup:kinshasas||MM
10.2307/3668539|*Caprifoliaceae|C0331054|229940|MH|RtM via: Caprifoliaceae;RtM via: Triosteum;checkForceMH Boosted;Forced Non-Leaf Node Lookup:caprifoliaceae|TI|MM;RC|582^14^0;190^14^0;373^9^0
10.2307/3668539|*Valerianaceae|C0949845|109340|MH|RtM via: Valerianaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:valerianaceae|TI|MM;RC|529^13^0
10.2307/3668539|*Dipsacaceae|C1008936|82045|MH|RtM via: Dipsacaceae;Forced Leaf Node Lookup:dipsacaceae;checkForceMH Boosted|TI|MM|543^11^0
10.2307/3668539|*Symphoricarpos|C1000847|60670|MH|RtM via: Symphoricarpos;Forced Leaf Node Lookup:symphoricarpos;checkForceMH Boosted|TI|MM|354^14^0
10.2307/3668539|*Phylogeny|C0031797|33212|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM;RC|420^12^0
10.2307/3668539|*Base Sequence|C0004793|60888|MH|RtM via: Base Sequence;RtM via: DNA Sequence;RtM via: RNA Sequence|TI|MM;RC|72^9^0
10.2307/3668539|DNA, Plant|C0242964|734|MH|||RC
10.2307/3668540|Female|C0086287|6284|CT|Forced Animals Lookup:mare|TI|MM;RC|751^4^0
10.2307/3668540|Horses|C0019944|6284|CT|RtM via: Female adult horse (organism);Forced Animals Lookup:mare|TI|MM|751^4^0
10.2307/3668540|Animals|C0003062|6284|CT|Forced Animals Lookup:mare|TI|MM;RC|751^4^0
10.2307/3668540|*Ponds|C0337048|5284|MH|RtM via: Natural pond;Forced Leaf Node Lookup:pond|TI|MM|137^4^0
10.2307/3668540|*Scenedesmus|C0524480|4034|MH|RtM via: Scenedesmus;Forced Leaf Node Lookup:scenedesmus;checkForceMH Boosted|TI|MM|659^11^0;44^11^0
10.2307/3668540|*Parks, Recreational|C0237771|1192|MH|RtM via: National Parks;Forced Leaf Node Lookup:national parks|TI|MM|179^13^0
10.2307/3668540|*Dinoflagellida|C0012470|2229|MH|RtM via: Dinophyceae|TI|MM|437^11^0;248^11^0
10.2307/3668540|*Cyanobacteria|C1047211|2127|MH|RtM via: Cyanobacteria|TI|MM|876^11^0;827^11^0;267^10^0;221^10^0
10.2307/3668540|*Drugs, Generic|C0085155|660|MH|RtM via: Generic Drugs|TI|MM|559^7^0
10.2307/3668540|*Cyclophosphamide|C0010583|495|MH|RtM via: cisplatin/cyclophosphamide/doxorubicin/teniposide protocol|TI|MM|967^4^0
10.2307/3668540|*Rhodophyta|C0002033|2445|MH|RtM via: Rhodophyta;Forced Non-Leaf Node Lookup:rhodophyta|TI|MM|1196^11^0;840^11^0;579^10^0;233^10^0
10.2307/3668541|Equatorial Guinea|C0014651|1740|MH|RtM via: Rio Muni;Forced Leaf Node Lookup:rio muni|TI|MM;RC|354^8^0;80^8^0
10.2307/3668541|*Flowers|C0330090|11907|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|234^7^0
10.2307/3668541|*Plant Leaves|C0242724|8034|MH|RtM via: Plant Leaves|TI|MM;RC|209^4^0
10.2307/3668541|*Melastomataceae|C1008574|2985|MH|RtM via: Heterotis Benth., 1849|TI|MM|339^9^0;163^9^0;45^9^0
10.2307/3668541|*Ericaceae|C0446235|2055|MH|RtM via: Rupicola <angiosperm>|TI|MM|173^8^0
10.2307/3668542|Humans|C0086418|12573|CT|African Americans;CT Treecode Lookup: M01.686 (African Americans)||MM;RC
10.2307/3668542|*Trichomes|C3658255|11573|MH|RtM via: Trichomes;Forced Leaf Node Lookup:indumentums|TI|MM|441^10^0
10.2307/3668542|*Inflorescence|C2697680|5365|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM|1146^14^0;525^13^0
10.2307/3668542|*Rubiaceae|C0524885|2214|MH|RtM via: Chassalia subcordatifolia;RtM via: Chazaliella|TI|MM|894^25^0;832^25^0;710^15^1;782^9^1;198^25^0;1232^9^0;609^9^0;156^9^0;698^11^0;74^11^0
10.2307/3668542|*African Americans|C0085756|972|MH|RtM via: African American|TI|MM|482^5^0
10.2307/3668542|*Habit|C0018464|558|ET|Entry Term Replacement for "Habits";RtM via: Behaviorial Habits;Forced Non-Leaf Node Lookup:habits|TI|MM|651^5^0
10.2307/3668542|*Plant Leaves|C0242724|453|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|420^4^0;386^6^0
10.2307/3668542|*Documentation|C0920316|414|MH|RtM via: Documentation;Forced Non-Leaf Node Lookup:documentations|TI|MM|666^13^0;44^13^0
10.2307/3668543|*Name|C0027365|234|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|196^4^0
10.2307/3668543|Democratic Republic of the Congo|C0043444|1000|MH|Geo Lookup:kinshasas||MM
10.2307/3668544|Guinea|C0018381|74|MH|RtM via: Guinea (geographic area);Forced Leaf Node Lookup:guinea|TI|MM|299^6^0
10.2307/3668544|*Sarcomeres|C0036225|183|MH|RtM via: C zone|TI|MM|566^1^1;665^4^1
10.2307/3668544|*Acanthaceae|C0949832|171|MH|RtM via: Pseudocalyx|TI|MM|411^11^0;45^11^0
10.2307/3668544|*Forests|C0086312|162|MH|RtM via: Forests;Forced Non-Leaf Node Lookup:forests|TI|MM|376^7^0
10.2307/3668544|*Liver|C0023884|24|MH|RtM via: Liver Acinus Zone 2|TI|MM|333^15^0
10.2307/3668544|Democratic Republic of the Congo|C0043444|1000|MH|Geo Lookup:kinshasas||MM
10.2307/3668545|Animals|C0003062|1097|CT|Reduviidae;CT Treecode Lookup: B01.050.500.131 (Reduviidae)||MM;RC
10.2307/3668545|Democratic Republic of the Congo|C0043444|97|MH|RtM via: Katanga -- geographic area;Forced Leaf Node Lookup:katanga;Geo Lookup:katangas|TI;AB|MM;RC|62^7^0
10.2307/3668545|*Reduviidae|C0034920|96|MH|RtM via: Katanga <insect>|TI|MM|62^7^0
10.2307/3668546|*Zygophyllaceae|C0949862|29952|MH|RtM via: Zygophyllaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:zygophyllaceae|TI|MM|694^14^0;176^14^0
10.2307/3668546|*Altitude|C0002349|9846|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM|939^9^0;414^9^0
10.2307/3668546|*Nyctaginaceae|C0996703|6453|MH|RtM via: Nyctaginaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:nyctaginaceae|TI|MM|676^13^0;159^13^0
10.2307/3668546|*Magnoliopsida|C0330209|15735|MH|RtM via: Magnoliopsida|TI|MM|70^12^0
10.2307/3668546|*Habitat|C0871648|4392|ET|Entry Term Replacement for "Ecosystem";RtM via: Habitat|TI|MM|913^7^0;386^7^0
10.2307/3668547|*Plankton|C0032071|41999|MH|RtM via: Plankton;checkForceMH Boosted;Forced Non-Leaf Node Lookup:plankton|TI|MM;RC|345^8^0;457^10^0
10.2307/3668547|*Lakes|C0337049|39161|MH|RtM via: Lake (environment);Forced Leaf Node Lookup:lake|TI|MM;RC|126^4^0
10.2307/3668547|*Diatoms|C0162769|33373|MH|RtM via: Diatoms;RtM via: Cymbella minuta;Forced Leaf Node Lookup:diatoms;checkForceMH Boosted|TI|MM;RC|310^6^0;67^6^0;582^15^0;426^6^0
10.2307/3668547|*Seasons|C0036497|23203|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasonal;Forced Leaf Node Lookup:seasons|TI|MM;RC|562^6^0;275^6^0;28^8^0;625^6^0
10.2307/3668547|Tanzania|C0039298|4691|MH|RtM via: Tanganyika;Forced Leaf Node Lookup:tanganyika|TI|MM|131^10^0
10.2307/3668614|Animals|C0003062|180676|CT|Sheep, Domestic;CT Treecode Lookup: B01.050.150.900.649.313.500 (Sheep, Domestic);Antelopes;CT TreecCT Treecode Lookup: B01.050.150.900.649.313.500 (Sheep, Domestic)||MM
10.2307/3668614|*Leguminosae|C0023263|179676|ET|Entry Term Replacement for "Fabaceae";RtM via: Fabaceae;RtM via: Vachellia tortilis;RtM via: Cullen;checkForceMH Boosted;Forced Non-Leaf Node Lookup:leguminosae|TI|MM;RC|14986^11^0;12314^11^0;9621^11^0;5506^11^1;5534^8^1;3061^11^0;382^11^0;11625^15^0;2360^15^0;12006^6^0;2750^6^0
10.2307/3668614|*Gramineae|C0018210|92064|ET|Entry Term Replacement for "Poaceae";RtM via: Poaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:gramineae|TI|MM|14969^9^0;12401^9^0;9590^9^0;5492^9^0;3131^9^0;355^9^0
10.2307/3668614|*Sheep, Domestic|C1123019|83256|MH|RtM via: Domestic Sheep;RtM via: Mouflon;Forced Leaf Node Lookup:mouflons;checkForceMH Boosted|TI|MM|16213^8^0;15907^8^0;15597^8^0;14468^8^0
10.2307/3668614|*Zygophyllaceae|C0949862|71667|MH|RtM via: Zygophyllaceae;RtM via: Fagonia indica;checkForceMH Boosted;Forced Non-Leaf Node Lookup:zygophyllaceae|TI|MM|12365^14^0;9660^14^0;3105^14^0;417^14^0;11552^14^0;2287^14^0
10.2307/3668614|*Vegetables|C0042440|70647|MH|RtM via: Vegetables;Forced Leaf Node Lookup:vegetables;checkForceMH Boosted|TI|MM|5245^9^0
10.2307/3668614|*Capparaceae|C1135844|69411|MH|RtM via: Capparaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:capparaceae|TI|MM|12418^11^0;3145^11^0
10.2307/3668614|granite|C0061864|56680|NM|RtM via: granite;Forced SCR Leaf Node Lookup:granite|TI|MM|14051^7^0;13721^7^0;13324^7^0;6145^7^0;4892^7^0;4714^7^0;4360^7^0;3984^7^0;3914^7^0;4058^7^0;4110^7^0;4455^7^0;5318^7^0;13414^7^0;13472^7^0;13822^7^0
10.2307/3668614|*Convolvulus|C0331259|53532|MH|RtM via: Genus Convolvulus;Forced Leaf Node Lookup:convolvulus;checkForceMH Boosted|TI|MM|11993^11^0;2737^11^0
10.2307/3668614|*Altitude|C0002349|53277|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM;RC|16286^8^0;16143^8^0;16007^8^0;14263^8^0;12806^8^0;4880^8^0;3516^8^0;6363^8^0;6500^8^0;16116^8^0
10.2307/3668614|*Antelopes|C0003146|53187|MH|RtM via: Gazella dorcas;RtM via: Genus Gazella;Forced Leaf Node Lookup:gazelle;checkForceMH Boosted|TI|MM|14439^14^0;5011^14^0;15521^8^0;15136^8^0;14429^8^0;5970^8^0;5640^8^0;5001^8^0
10.2307/3668614|*Salvadoraceae|C0997059|52965|MH|RtM via: Salvadora persica;Forced Leaf Node Lookup:salvadoras;checkForceMH Boosted|TI|MM|12056^17^0;2800^17^0
10.2307/3668614|*Cleome|C1081402|50631|MH|RtM via: Cleome chrysantha;Forced Leaf Node Lookup:cleomes;checkForceMH Boosted|TI|MM|11664^17^0;2400^17^0
10.2307/3668614|*Tamaricaceae|C1084540|48357|MH|RtM via: Tamarix arborea;Forced Leaf Node Lookup:tamarix;checkForceMH Boosted|TI|MM|12090^15^0;2835^15^0
10.2307/3668614|*Herbivory|C0562691|48015|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivores|TI|MM|16511^10^0;14528^10^0;14364^10^0;6856^10^0;5092^10^0;4957^10^0
10.2307/3668614|*Acacia|C0000869|47094|MH|Forced Leaf Node Lookup:acacias;checkForceMH Boosted|TI|MM|2360^6^0;11625^6^0
10.2307/3668614|*Cocculus|C1000694|47094|MH|RtM via: Cocculus pendulus;Forced Leaf Node Lookup:cocculus;checkForceMH Boosted|TI|MM|11967^17^0;2710^17^0
10.2307/3668614|*Ficus|C0969754|47094|MH|Forced Leaf Node Lookup:fig;checkForceMH Boosted|TI|MM|1480^3^0;1561^3^0;4272^3^0;4723^3^0;4802^3^0;4918^3^0;5125^3^0;9244^3^0;10751^3^0;10823^3^0;13640^3^0;14089^3^0;14190^3^0;14335^3^0;14562^3^0;19010^3^0
10.2307/3668614|*Seasons|C0036497|37857|MH|RtM via: Seasons;Forced Leaf Node Lookup:seasons|TI|MM|7531^6^0
10.2307/3668615|Humans|C0086418|44654|CT|Hypospadias;CT Treecode Lookup: C12.294.494 (Hypospadias)||MM;RC
10.2307/3668615|Male|C0086582|44654|CT|Hypospadias;CT Treecode Lookup: C12.294.494 (Hypospadias)||MM;RC
10.2307/3668615|*Crotalaria|C0330703|20393|MH|RtM via: Crotalaria thebaica;Forced Leaf Node Lookup:crotalarias;checkForceMH Boosted|TI|MM|15901^19^0;6341^19^0
10.2307/3668615|*Altitude|C0002349|18700|MH|RtM via: Altitude;Forced Leaf Node Lookup:altitudes|TI|MM|18031^8^0;11248^8^0;9437^8^0;8434^8^0;1848^8^0
10.2307/3668615|Somalia|C0037640|18529|MH|RtM via: Somalia;Forced Leaf Node Lookup:somalia|TI|MM|8877^7^0;8232^7^0;7361^7^0;5180^7^0;4606^7^0;3722^7^0;2051^7^0;1433^7^0
10.2307/3668615|*Cleome|C1081402|18161|MH|RtM via: Cleome chrysantha;Forced Leaf Node Lookup:cleomes;checkForceMH Boosted|TI|MM|15863^17^0;6302^17^0
10.2307/3668615|*Ficus|C0969754|17642|MH|Forced Leaf Node Lookup:fig;checkForceMH Boosted|TI|MM;RC|544^3^0;628^3^0;3362^3^0;4446^3^0;5157^3^0;5436^3^0;5637^3^0;6224^3^0;6431^3^0;6731^3^0;7485^3^0;7588^3^0;8546^3^0;8661^3^0;8961^3^0;9810^3^0;9895^3^0;12793^3^0;13931^3^0;14684^3^0;14988^3^0;15189^3^0;15790^3^0;15994^3^0;16306^3^0;17097^3^0;17209^3^0;18163^3^0;18285^3^0;18637^3^0
10.2307/3668615|*Dihydroergotamine|C0012291|17609|MH|RtM via: Seglor;Forced Leaf Node Lookup:agit;checkForceMH Boosted|TI|MM|15206^4^0
10.2307/3668615|*Herbivory|C0562691|15790|MH|RtM via: Herbivory;Forced Leaf Node Lookup:herbivores|TI|MM|18058^10^0
10.2307/3668615|Libya|C0023634|15427|MH|RtM via: Libya;Forced Leaf Node Lookup:libya|TI|MM|6151^5^0
10.2307/3668615|South Africa|C0037712|11299|MH|RtM via: South Africa;Forced Leaf Node Lookup:south africa|TI|MM|4976^12^0
10.2307/3668615|Indian Ocean|C0376441|8806|MH|RtM via: Red Sea;Forced Leaf Node Lookup:red sea|TI|MM|8952^7^0
10.2307/3668615|*Cancer|C0006826|540|ET|Entry Term Replacement for "Neoplasms";RtM via: Malignant Neoplasms;RtM via: Primary malignant neoplasm;Cancer/Neoplasm in Title, none specified|TI|MM|18277^6^0;15181^6^0;8653^6^0;5629^6^0
10.2307/3668615|Scalp ear nipple syndrome|C1867020|43654|NM|RtM via: SCALP-EAR-NIPPLE SYNDROME|TI|MM|10261^4^0
10.2307/3668615|*Hypospadias|C0848558|43653|HM|RtM via: SCALP-EAR-NIPPLE SYNDROME|TI|MM|10261^4^0
10.2307/3668615|*Muscle Hypotonia|C0026827|43626|HM|RtM via: SCALP-EAR-NIPPLE SYNDROME|TI|MM|10261^4^0
10.2307/3668615|*Abnormalities, Multiple|C0000772|40929|HM|RtM via: SCALP-EAR-NIPPLE SYNDROME|TI|MM|10261^4^0
10.2307/3668615|*Ear, External|C0013453|24126|HM|RtM via: SCALP-EAR-NIPPLE SYNDROME|TI|MM|10261^4^0
10.2307/3668615|*Nipples|C0028109|24246|HM|RtM via: SCALP-EAR-NIPPLE SYNDROME|TI|MM|10261^4^0
10.2307/3668615|*Scalp|C0036270|22038|HM|RtM via: SCALP-EAR-NIPPLE SYNDROME|TI|MM|10261^4^0
10.2307/3668616|*Acanthaceae|C0949832|21|MH|RtM via: Rungia|TI|MM|154^6^0;58^6^0
10.2307/3668617|Animals|C0003062|31547|CT|Perciformes;CT Treecode Lookup: B01.050.150.900.493 (Perciformes)||MM;RC
10.2307/3668617|*Orchidaceae|C0949956|30547|MH|RtM via: Orchidaceae;RtM via: Calanthe sylvatica;RtM via: Polystachya albescens;RtM via: Bulbophyllum;RtM via: Liparis <angiosperm>;checkForceMH Boosted;Forced Non-Leaf Node Lookup:orchidaceae|TI|MM;RC|45^11^0;283^18^0;183^21^0;128^12^0;84^7^0
