10.2307/3241482|Thirty-one species of thallose liverworts are recorded from Dalhousie, northwestern Himalayas.
10.2307/3241465|Plants meeting the general description of Riella americana occur in the states of Texas, New Mexico, California, Chihuahua, and Durango, as well as the republic of Argentina. Evidence suggests that the "species" is more widespread than earlier reported. Experimental crosses between various isolates indicate that all dioecious members of the genus in the Western Hemisphere are part of a single complex. However, in many instances cross-fertilizaation between populations leads not to viable spores but only to initial sporophyte development, followed by disintegration of the contents of the developing capsule. Judged from the basis of reproductive isolation at least three distinct groups exist within the Western Hemisphere. Two of these differ further with respect to habitat and external morphology.
10.2307/3243011|Caloplaca tominii occurs widely in North America as well as in South America.
10.2307/3240607| In Funaria hygrometrica, low temperature (10C) is the critical factor in the induction of sex organs while day length seems to have no effect as long as a certain minimum period of illumination is provided. 
20061140|Increased knowledge of a species overall habitat requirements is important for enhancing the outcome of any conservation effort. The present study identifies habitat and substrate characteristics associated with high vitality of both core and fringe populations of the suboceanic species Platismatia norvegica. Platismatia norvegica was surveyed at four oceanic sites in central Norway, and at five sites in Sweden situated on the suboceanic fringe of the species' distribution range in Scandinavia. The study has shown that close proximity to watercourses is essential for the occurrence of P. norvegica in suboceanic fringe habitats. Also, results suggest that less acidic bark pH values, especially in combination with close proximity to open water, might be beneficial for the abundance of the species in the suboceanic region, while neither of these factors was of importance for the occurrence of the species in the oceanic core habitats. Also, overall thallus abundances were much higher in the core environments, a pattern which most likely is due to macroclimatic characteristics. While higher bark pH levels in the oceanic region failed to explain the observed differences, there was a good correspondence at site level between abundance and annual wet precipitation. The marginal P. norvegica populations displayed both morphological and distributional responses to the more continental climate. However, close to the watercourses in the suboceanic region, it was found that both thallus abundances and mean values for thallus area surpassed those found in the oceanic region. It is often argued that conservation measures should be concentrated within the distributional core of a species, to achieve an optimal outcome. The present study suggests that, within the zone bordering the streams, conditions for maintaining viable populations of P. norvegica are fully comparable to those in the oceanic region. In view of the scarcity of protected habitats in central Norway, the present study indicates that both setaside protection and restoration of fringe populations can be of great importance to the conservation of endangered suboceanic lichens in Scandinavia.
10.2307/3243528| Among the lichens of southern Ontario are three species new to the North American flora: Caloplaca velana (Massal.) Du Rietz, Rinodina efflorescens Malme, and Strangospora pinicola (Massal.) Krber. In addition, ten species are reported new to Canada, and 63 species are new to Ontario. Parmelia crinita fo. varians Merrill was found to be a synonym of Parmotrema subtinctorium. 
10.2307/3242030|The effects of cadmium on the growth of certain bryophyte propagules were studied. Significant differences over Cd-free controls were observed at applied Cd levels up to 5 ppm on gemmaling growth of Marchantia and spore germination and germ tube elongation of Funaria. Above this level reductions in all three processes were apparent. A similar pattern was observed in respiration rates of portions of mature Marchantia thallus, treated with increasing Cd levels. Results are discussed in mechanistic terms, and the potential phytotoxicity of Cd to bryophytes is related to previous studies with other heavy metals using the same experimental system.
10.2307/3243219|Twenty-six of the species of Fossombronia listed in the Index Hepaticarum are tentatively accepted as good species. Taxonomic notes are given for 63 taxa and micrographs of spores for 18. The following reductions to synonymy are made: F. caledonica Steph. and F. macrocalyx Steph. to F. papillata; F. crassifolia Spruce and F. tenuifolia Spruce to F. pusilla; F. fernandeziensis Steph., F. forsythii Steph. and F. hamato-hirta Steph. to F. wondraczekii; F. mexicana Steph. to F. texana; and F. occidento-africana Arnell to F. indica.
10.2307/3240783|Three modifications of the nomenclature are made-Cetraria coralligera (W. Web.) stat. nov., Parmelia cumberlandia (Gyeln.) stat. nov., and Parmeliopsis halei (Tuck.) comb. nov.-and five new species are proposed-Cetraria culbersonii, Parmelia hypomelaena, P. kurokawae, P. psoromifera, and P. gondylophora. All eight species treated are North American. A key is given to the eight adnate nonisidiate species of Parmelia sect. Xanthoparmelia in North America.
10.2307/3241145|Cladonia delessertii Vain. is to be replaced by C. subfurcata (Nyl.) Arn. and C. alpicola (Flot.) Vain. by C. macrophylla (Schaer.) Stenham.
10.2307/3241865|Sphagnum pylaesii Brid. is reported for the first time from Greenland. Its Greenland localities are in the southernmost region with high summer temperature and high precipitation. Seven collections represent the total series of known forms of the species. Conspicuous refractive membrane pleats in the leaf cells distinguishes S. pylaesii from simplex forms of S. platyphyllum.
20110944|A total of 134 bryophyte species distributed among 92 genera and 45 families (32 liverworts, 2 hornworts and 100 mosses) are enumerated from the region of Yanachaga-Chemilln National Park. For the Department of Pasco, 29 of the 32 liverworts, one of the two hornworts and 82 of the 100 mosses represent new departmental records. Fifteen of the 112 bryophytes are new records to Peru.
10.2307/3244050| Lithothelium japonicum Harada sp. nov. (lichenized Ascomycotina, Pyrenulaceae) is described from Chiba-ken, central Japan. It is characterized by a brownish green endophloeodic thallus, simple perithecia, non-gelatinized paraphyses with oil droplets, and 3-septate hyaline spores (10-14 x 4-5 m) with terminal lumina almost as large as the central ones. 
