41941381|Humans|D006801|1606|CT|Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans)||MM;RC
41941393|*Traditional Medicine|D008519|621|ET|Entry Term Replacement for "Medicine, Traditional";RtM via: Traditional Medicine;Forced Non-Leaf Node Lookup:traditional medicine|TI|MM|70^20^0
41941393|*Hives|D014581|111|ET|Entry Term Replacement for "Urticaria";RtM via: Urticaria;Forced Non-Leaf Node Lookup:hives|TI|MM|356^5^0
41941239|*Microscopy, Electron, Scanning|D008855|8485|MH|RtM via: Scanning Electron Microscopy;Forced Leaf Node Lookup:scanning electron microscopy|TI|MM;RC|123^28^0
41941239|*Phylogeny|D010802|5686|MH|RtM via: Phylogenetic Analysis;Forced Lookup:phylogenetic|TI|MM;RC|2955^12^0
41941239|*Helicteres|D019660|4351|ET|Entry Term Replacement for "Malvaceae";RtM via: Helicteres;RtM via: Kleinhovia;RtM via: Kleinhovia hospita;RtM via: Pterospermum acerifolium;RtM via: Reevesia thyrsoidea;RtM via: Ungeria floribunda;checkForceMH Boosted;Forced Non-Leaf Node Lookup:helicteres|TI|MM|3054^10^0;2665^10^0;2413^10^0;2266^10^0;2131^10^0;781^10^0;364^10^0;84^10^0;2398^10^0;237^18^0;2768^24^0;319^24^0;2587^19^0;257^19^0;2629^18^0;296^18^0
41941239|*Biological Evolution|D005075|5139|MH|RtM via: Biological Evolution|TI|MM;RC|4229^12^0;3664^12^0;3496^12^0
41941239|*Pollen|D011058|4260|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen grains|TI|MM;RC|4371^6^0;4128^12^0;3841^12^0;3648^6^0;3341^6^0;2758^6^0;2387^7^0;2209^6^0;2115^6^0;1884^6^0;663^6^0;511^13^0;21^13^0;2150^6^0;2305^6^0
41941239|*Warts|D014860|1563|MH|RtM via: Common wart;RtM via: Warts|TI|MM|1274^8^0
41941239|*Culture Media|D003470|1524|MH|RtM via: Culture Media|TI|MM|588^6^0
41941320|Argentina|D001118|443|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM|96^9^0
41941320|*Head|D006257|240|MH|RtM via: Temple;RtM via: Temporal region|TI|MM|126^7^0
41941320|*Environment|D004777|237|MH|RtM via: Para (geographic area)|TI|MM|340^4^0
41941320|*Skin|D012867|132|MH|RtM via: Temple|TI|MM|126^7^0
41941243|Brazil|D001938|1582|MH|RtM via: Brazil;RtM via: Rio Grande do Sul;Forced Leaf Node Lookup:brazil|TI|MM|455^6^0;93^6^0;436^17^0;74^17^0
41941243|*Malvaceae|D019660|1453|MH|RtM via: Malvaceae;RtM via: Sphaeralcea;checkForceMH Boosted;Forced Non-Leaf Node Lookup:malvaceae|TI|MM|58^9^0;483^11^0;149^11^0
41941243|Ecuador|D004484|1099|MH|RtM via: Ecuador;Forced Leaf Node Lookup:ecuador|TI|MM|627^7^0
41941243|wye|C012099|463|NM|RtM via: Y base|TI|MM|635^1^1;663^4^1
41941243|*Guanine|D006147|462|HM|RtM via: Y base|TI|MM|635^1^1;663^4^1
41941243|*Pollen|D011058|258|MH|RtM via: Pollen;Forced Non-Leaf Node Lookup:pollen|TI|MM|265^6^0
41941243|*Chromosomes|D002875|390|MH|RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosomes|TI|MM|238^11^0
41941221|United States|D014481|29355|CT|RtM via: Americas Ethnicity;Forced Leaf Node Lookup:american|TI|MM|52^8^0
41941221|*Nectars|D057048|28355|ET|Entry Term Replacement for "Plant Nectar";RtM via: Plant Nectar;checkForceMH Boosted|TI|MM;RC|1245^9^0
41941221|*Inflorescence|D056626|13721|MH|RtM via: Inflorescence;Forced Leaf Node Lookup:inflorescences|TI|MM;RC|1694^14^0
41941221|*Turnera|D029647|10597|MH|RtM via: Turnera (plant);Forced Leaf Node Lookup:turnera;checkForceMH Boosted|TI|MM;RC|1982^7^0;21^7^0
41941221|*Fruit|D005638|10037|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM;RC|669^5^0
41941221|*Odorants|D009812|5309|MH|RtM via: Fragrance (odor);Forced Leaf Node Lookup:scents|TI|MM|942^8^0;956^5^0
41941221|*Flowers|D035264|20835|MH|RtM via: Flowers;RtM via: Plant Calyx;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|1654^7^0;784^5^0
41941221|*Plant Leaves|D018515|10605|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|1829^6^0;1117^6^0;915^6^0
41941221|*Passifloraceae|D031683|8199|MH|RtM via: Piriqueta|TI|MM|1954^9^0
41941221|*Seeds|D012639|2694|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM|1783^5^0;1518^5^0
41941302|Humans|D006801|1780|CT|Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans)||MM;RC
41941302|Argentina|D001118|780|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|360^9^0
41941302|*Lobelia|D029746|453|MH|RtM via: Lobelia;Forced Leaf Node Lookup:lobelia;checkForceMH Boosted|TI|MM|271^7^0;41^7^0
41941302|*Hispanic Americans|D006630|159|MH|RtM via: argentinian|TI|MM|126^11^0
41941302|*Boraginaceae|D028082|105|MH|RtM via: Thaumatocaryon dasyanthum|TI|MM|298^25^0;70^25^0
41941302|*Environment|D004777|87|MH|RtM via: Para (geographic area)|TI|MM|346^4^0
41941190|Animals|D000818|4732|CT|Cladocera;CT Treecode Lookup: B01.050.500.131 (Cladocera)||MM;RC
41941190|*Malvaceae|D019660|3732|MH|RtM via: Wissadula amplissima|TI|MM;RC|59^20^0
41941190|*Sida Plant|D000076248|1572|MH|RtM via: Sida <angiosperm>|TI|MM|414^4^0;21^4^0
41941190|*Cladocera|D033361|246|MH|RtM via: Sida <Cladocera>|TI|MM|414^4^0;21^4^0
41941190|*Reproduction|D012098|66|MH|RtM via: Reproduction|TI|MM|439^10^0
41941205|Animals|D000818|1978|CT|Salmoniformes;CT Treecode Lookup: B01.050.150.900.493 (Salmoniformes)||MM;RC
41941205|Argentina|D001118|893|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|446^9^0;214^9^0
41941205|*Bignoniaceae|D029402|197|MH|RtM via: Bignoniaceae;RtM via: Arrabidaea;checkForceMH Boosted;Forced Non-Leaf Node Lookup:bignoniaceae|TI|MM|35^12^0;99^10^0
41941205|*Plants|D010944|978|MH|RtM via: Vine|TI|MM;RC|92^5^0
41941205|*Salmoniformes|D017858|363|MH|RtM via: Argentina sphyraena|TI|MM|25^9^0
41941205|*Flower Essences|D065829|3|MH|RtM via: Vine, Bach flower essence|TI|MM|92^5^0
41941146|Brazil|D001938|358|MH|RtM via: Bahia (organism);RtM via: Minas Gerais;Forced Leaf Node Lookup:bahia|TI|MM;RC|208^5^0;218^12^0
41941146|*Environment|D004777|111|MH|RtM via: Bahia (geographic area)|TI|MM|208^5^0
41941146|*Passifloraceae|D031683|72|MH|RtM via: Piriqueta|TI|MM|140^9^0
41941146|*Burkitt Lymphoma|D002051|3|MH|RtM via: African Burkitt's lymphoma|TI|MM|177^7^0
41941380|Brazil|D001938|4242|MH|RtM via: Brazil;RtM via: Rio Grande do Sul;Forced Leaf Node Lookup:brazil|TI|MM;RC|409^6^0;131^6^0;390^17^0;106^17^0
41941380|*Environment|D004777|936|MH|RtM via: Para (geographic area)|TI|MM|372^4^0
41941380|Ecosystem|D017753|446|MH|||RC
41941380|*Iridaceae|D027621|231|MH|RtM via: Calydorea minima|TI|MM|507^16^0;238^16^0;324^9^0;42^9^0
41941380|*Publications|D011642|60|MH|RtM via: Scientific Publication|TI|MM|288^9^0
41941107|Humans|D006801|4945|CT|Races;CT Treecode Lookup: M01.686 (Races);Hospitalization;CT Treecode Lookup: E02.760 (Hospitalization);Hospitalization;CT Treecode Lookup: N02.421.585 (Hospitalization)||MM;RC
41941107|*Manihot|D002365|3945|MH|RtM via: Manihot esculenta;RtM via: Brazilian Arrowroot;Forced Leaf Node Lookup:manihot esculentas;Forced Leaf Node Lookup:manihots;checkForceMH Boosted|TI|MM|2553^17^0;1704^17^0;1496^17^0;47^7^1;79^9^1;1470^7^0;404^7^0;71^17^0;249^17^0;278^17^0;1573^17^0;1675^17^0;298^7^0;1549^7^0;1724^7^0
41941107|*Body Weight|D001835|3636|MH|RtM via: Dry body weight (observable entity)|TI|MM|1994^10^0;1658^10^0
41941107|*Races|D044469|1287|ET|Entry Term Replacement for "Continental Population Groups";RtM via: Racial group|TI|MM|1290^5^0;1177^5^0;748^5^0;488^5^0;183^5^0
41941107|*Hospitalization|D006760|1041|MH|RtM via: Hospital admission|TI|MM|2463^9^0
41941107|*Environment|D004777|522|MH|RtM via: Para (geographic area)|TI|MM|555^4^0
41941107|*Hormones|D006728|1185|MH|RtM via: Hormones;Forced Non-Leaf Node Lookup:hormones|TI|MM|2537^8^0
41941107|Plant Components, Aerial|D035261|1000|MH|Forced Non-Leaf Node Lookup:aerial parts||MM|1945^11^0;2490^11^0
41941107|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|1236^3^0
41941120|Humans|D006801|1827|CT|Hispanic Americans;CT Treecode Lookup: M01.686 (Hispanic Americans)||MM;RC
41941120|Animals|D000818|1827|CT|Bivalvia;CT Treecode Lookup: B01.050.500.644 (Bivalvia)||MM;RC
41941120|Argentina|D001118|827|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|267^9^0
41941120|*Malvaceae|D019660|278|MH|RtM via: Tarasa rhombifolia;RtM via: Malvaceae;RtM via: Urocarpidium;checkForceMH Boosted;Forced Non-Leaf Node Lookup:malvaceae|TI|MM|94^18^0;53^9^0;309^12^0;203^12^0;147^12^0
41941120|*Biological Phenomena|D001686|462|MH|RtM via: Tissue Growth|TI|MM|258^5^0;190^4^0
41941120|*Cactaceae|D029421|180|MH|RtM via: Matucana|TI|MM|174^8^0
41941120|*Hispanic Americans|D006630|66|MH|RtM via: South American|TI|MM|38^14^0
41941120|*Bivalvia|D049872|60|MH|RtM via: Lima|TI|MM|184^4^0
41941283|Brazil|D001938|4438|MH|RtM via: Brazil;Forced Leaf Node Lookup:brazil|TI|MM;RC|444^6^0;97^6^0
41941283|Bolivia|D001838|3766|MH|RtM via: Bolivia;Forced Leaf Node Lookup:bolivia|TI|MM;RC|435^7^0;88^7^0
41941283|Argentina|D001118|3460|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|424^9^0;77^9^0
41941283|Paraguay|D010239|1705|MH|RtM via: Paraguay;Forced Leaf Node Lookup:paraguay|TI|MM|453^8^0;108^8^0
41941283|*Interior Design and Furnishings|D007374|318|MH|RtM via: Table - furniture|TI|MM|319^5^0
41941283|*Environment|D004777|192|MH|RtM via: Para (geographic area)|TI|MM|419^4^0
41941283|*Sida Plant|D000076248|186|MH|RtM via: Sida <angiosperm>|TI|MM|414^4^0;36^4^0
41941283|*Chromosome|D002875|18|ET|Entry Term Replacement for "Chromosomes";RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosome|TI|MM|330^10^0
41941283|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|504^3^0
41941155|Chile|D002677|1382|MH|RtM via: Chile;Forced Leaf Node Lookup:chile|TI|MM;RC|121^5^0
41941155|*Stellaria|D029752|1213|MH|RtM via: Stellaria cuspidata;RtM via: Stellaria (plant);Forced Leaf Node Lookup:stellaria;checkForceMH Boosted|TI|MM|244^19^0;168^9^0
41941155|Bolivia|D001838|689|MH|RtM via: Bolivia;Forced Leaf Node Lookup:bolivia|TI|MM|92^7^0
41941076|*Protein Transport|D021381|231|MH|RtM via: Sorting - Cell Movement|TI|MM|54^4^0
41941076|*Cell Movement|D002465|39|MH|RtM via: Sorting - Cell Movement|TI|MM|54^4^0
41941230|*Fabaceae|D007887|6920|MH|RtM via: Fabaceae;RtM via: Inga vera;RtM via: Inga <plant>;checkForceMH Boosted;Forced Non-Leaf Node Lookup:fabaceae|TI|MM;RC|198^8^0;166^9^0;315^4^0
41941230|*Bombacaceae|D035161|3742|MH|RtM via: Bombacaceae;Forced Leaf Node Lookup:bombacaceae;checkForceMH Boosted|TI|MM|237^11^0
41941230|*Sesbania|D049931|3304|MH|RtM via: Sesbania punicea;Forced Leaf Node Lookup:sesbanias;checkForceMH Boosted|TI|MM|452^16^0
41941230|Argentina|D001118|2585|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|533^9^0;87^9^0
41941230|*Pilocarpus|D032103|2086|MH|RtM via: Pilocarpus pennatifolius;Forced Leaf Node Lookup:pilocarpus;checkForceMH Boosted|TI|MM|497^24^0
41941230|Paraguay|D010239|1769|MH|RtM via: Paraguay;Forced Leaf Node Lookup:paraguay|TI|MM|101^8^0
41941230|*Diploidy|D004171|5286|MH|RtM via: Diploid Cell|TI|MM;RC|394^7^0
41941230|*Chromosomes|D002875|3996|MH|RtM via: Chromosome number;Forced Non-Leaf Node Lookup:chromosome|TI|MM;RC|402^18^0;287^17^0;21^18^0
41941230|vinyl polysiloxane|C034183|724|NM|RtM via: affinis|TI|MM|183^7^0
41941230|*Polyvinyls|D011145|237|HM|RtM via: affinis|TI|MM|183^7^0
41941230|*Siloxanes|D012833|723|HM|RtM via: affinis|TI|MM|183^7^0
43574297|*Fruit|D005638|9402|MH|RtM via: Fruit;Forced Leaf Node Lookup:fruits|TI|MM;RC|684^5^0;391^5^0
43574297|*Cacao|D002099|7278|MH|RtM via: Theobroma;Forced Leaf Node Lookup:theobroma;checkForceMH Boosted|TI|MM|41^9^0
43574297|*Malvaceae|D019660|29754|MH|RtM via: Guazuma ulmifolia|TI|MM;RC|63^17^0;194^7^0;51^7^0
43574297|*Plant Leaves|D018515|9408|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|723^6^0
43574297|*Seeds|D012639|7878|MH|RtM via: Plant seeds;Forced Non-Leaf Node Lookup:seeds|TI|MM;RC|585^5^0
43574297|*Chromosomes|D002875|9|MH|RtM via: Chromosome number;Forced Non-Leaf Node Lookup:chromosome|TI|MM|754^17^0
41945702|Humans|D006801|2657|CT|Asian Continental Ancestry Group;CT Treecode Lookup: M01.686 (Asian Continental Ancestry Group)||MM;RC
41945702|Brazil|D001938|1657|MH|RtM via: Brazil;Forced Leaf Node Lookup:brazil|TI|MM;RC|394^6^0;115^6^0
41945702|*Triumfetta|D032385|959|MH|RtM via: Triumfetta rhomboidea;Forced Leaf Node Lookup:triumfettas;checkForceMH Boosted|TI|MM|310^21^0;21^21^0
41945702|Paraguay|D010239|874|MH|RtM via: Paraguay;Forced Leaf Node Lookup:paraguay|TI|MM|367^8^0;93^8^0
41945702|*Record|D011996|180|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|52^8^0
41945702|*Environment|D004777|153|MH|RtM via: Para (geographic area)|TI|MM|362^4^0
41945702|*Asian Continental Ancestry Group|D044466|138|MH|RtM via: Asians|TI|MM|376^8^0
41941284|Brazil|D001938|6540|MH|RtM via: Brazil;RtM via: Brazilian State;RtM via: Minas Gerais;Forced Leaf Node Lookup:brazil|TI|MM;RC|484^6^0;339^6^0;132^6^0;230^15^0;470^12^0;325^12^0;249^12^0;112^12^0
41941284|*Hibiscus|D031584|936|MH|RtM via: Hibiscus;Forced Leaf Node Lookup:hibiscus;checkForceMH Boosted|TI|MM|299^8^0;40^8^0
41941284|*Fumaria|D031312|837|MH|RtM via: Fumaria <plant>;Forced Leaf Node Lookup:fumaria;checkForceMH Boosted|TI|MM|314^7^0;55^7^0
41941284|*Environment|D004777|204|MH|RtM via: Para (geographic area)|TI|MM|396^4^0
41941284|GZMB protein, human|C509213|202|NM|RtM via: GZMB protein, human|TI|MM|49^4^0
41941284|*Granzymes|D053804|201|HM|RtM via: GZMB protein, human|TI|MM|49^4^0
41941284|*Histological Techniques|D006652|114|MH|RtM via: Sectioning technique|TI|MM|198^7^0
41941270|*Apocynaceae|D029062|1286|MH|RtM via: Apocynaceae;RtM via: Rhabdadenia;checkForceMH Boosted;Forced Non-Leaf Node Lookup:apocynaceae|TI|MM|571^11^0;62^11^0;540^11^0;31^11^0
41941270|*Immersion|D007101|524|MH|Forced Leaf Node Lookup:immersions|TI|MM|194^9^0
41941270|*Acid|D000143|1314|ET|Entry Term Replacement for "Acids";RtM via: Acids|TI|MM|508^4^0
41941270|*Ethanol|D000431|1257|MH|RtM via: Ethanol 70%;RtM via: ethanol;Forced Non-Leaf Node Lookup:ethanol|TI|MM|207^2^1;211^7^1;749^6^0
41941270|*Water|D014867|1152|MH|RtM via: Distilled water;RtM via: sterile water;RtM via: water;Forced Non-Leaf Node Lookup:water|TI|MM|286^15^0;278^7^1;296^5^1;840^4^0
41941270|*Culture Media|D003470|996|MH|RtM via: Culture Media|TI|MM|366^6^0
41941270|*Plant Leaves|D018515|738|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|184^6^0;106^6^0
41941270|*Sterilization|D013242|405|MH|RtM via: Sterilization for infection control;Forced Non-Leaf Node Lookup:sterilization|TI|MM|167^13^0
41941400|Humans|D006801|30312274|CT|Forced Humans: people|TI|MM;RC
41941400|*Atrial Natriuretic Factor|D009320|2426806|MH|Forced Leaf Node Lookup:anp;checkForceMH Boosted|TI|MM|1641^3^0;2146^3^0;2317^3^0
41941400|*Ethnobotany|D019448|1221542|MH|RtM via: Ethnobotany;Forced Leaf Node Lookup:ethnobotany|TI|MM|473^11^0
41941400|*Plants, Medicinal|D010946|1215122|MH|RtM via: Plants, Medicinal;Forced Leaf Node Lookup:medicinal plants|TI|MM|1327^16^0;1094^16^0;96^16^0
41941400|Argentina|D001118|1214036|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM|1514^9^0;159^9^0
41941400|*Goals|D006040|1662|MH|RtM via: Clinical Trial Objective|TI|MM|25^9^0
41941400|*Survey|D011795|1026|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys|TI|MM|589^8^0
41941400|*Rural Population|D012424|639|MH|RtM via: Rural|TI|MM|1117^5^0;116^5^0
41941400|*Knowledge|D019359|606|MH|RtM via: Knowledge|TI|MM|1170^9^0;1081^9^0;717^9^0;67^9^0
41941400|*Circulatory Systems|D002319|165|ET|Entry Term Replacement for "Cardiovascular System";RtM via: Cardiovascular system;Forced Non-Leaf Node Lookup:circulatory systems|TI|MM|884^19^0
41941400|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|2246^3^0
41941445|Humans|D006801|2139|CT|Continental Population Groups;CT Treecode Lookup: M01.686 (Continental Population Groups)||MM;RC
41941445|Animals|D000818|2139|CT|Macropodidae;CT Treecode Lookup: B01.050.150.900.649.573 (Macropodidae);Weasel;CT Treecode Lookup: B01.050.150.900.649.313.750 (Weasel)||MM;RC
41941445|*Macropodidae|D007614|1139|MH|RtM via: Kangaroo;RtM via: Macropus <genus>;Forced Leaf Node Lookup:kangaroos;checkForceMH Boosted|TI|MM|326^8^0
41941445|*Weasel|D045969|1033|ET|Entry Term Replacement for "Mustelidae";RtM via: Genus Mustela;checkForceMH Boosted;Forced Non-Leaf Node Lookup:weasels|TI|MM|300^6^0
41941445|Australia|D001315|385|MH|RtM via: Australia;Forced Leaf Node Lookup:australian;Geo Lookup:australian|TI;AB|MM|840^9^0;315^10^0
41941445|*Continental Population Groups|D044469|225|MH|RtM via: Australian|TI|MM|315^10^0
41941445|*Publications|D011642|174|MH|RtM via: Scientific Publication|TI|MM|76^9^0
41941445|Nuclear Family|D009679|1000|MH|Forced Non-Leaf Node Lookup:son||MM|778^3^0
41941267|Humans|D006801|5794|CT|Chromosomes, Human, Pair 18;CT Treecode Lookup: A11.284.187.520.300 (Chromosomes, Human, Pair 18);Chromosomes, Human, Pair 18;CT Treecode Lookup: G05.360.162.520.300 (Chromosomes, Human, Pair 18);Chromosomes, Human, Pair 20;CT Treecode Lookup: A11.284.187.520.300 (Chromosomes, Human, Pair 20);Chromosomes, Human, Pair 20;CT Treecode Lookup: G05.360.162.520.300 (Chromosomes, Human, Pair 20)||MM;RC
41941267|*Arachis|D010367|1820|MH|RtM via: Arachis schininii;Forced Leaf Node Lookup:arachis;checkForceMH Boosted|TI|MM;RC|1547^17^0;415^17^0;2152^7^0;1693^7^0;1349^7^0;1282^7^0;1031^7^0;599^7^0;181^7^0;98^7^0;1063^7^0;1189^7^0;2190^7^0;2291^7^0
41941267|*Tetraploidy|D057891|1820|MH|RtM via: Tetraploidy;Forced Leaf Node Lookup:tetraploids|TI|MM|813^10^0;880^11^0
41941267|origen|C009784|1350|NM|RtM via: origen;Forced SCR Leaf Node Lookup:origen|TI|MM|2203^6^0;2229^6^0
41941267|*Chromosomes, Human, Pair 18|D002887|1425|MH|RtM via: Chromosomes, Human, Pair 18|TI|MM|1009^14^0
41941267|*Azocines|D001392|1349|HM|RtM via: origen|TI|MM|2203^6^0
41941267|*Chromosomes, Human, Pair 20|D002890|1158|MH|RtM via: Chromosomes, Human, Pair 20|TI|MM|235^14^0
41941267|*Diagnostic Tests, Routine|D003955|354|MH|RtM via: Granzyme B Measurement|TI|MM|672^4^0;621^4^0
41941187|Argentina|D001118|5239|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|396^9^0;172^9^0
41941187|Bolivia|D001838|4915|MH|RtM via: Bolivia;Forced Leaf Node Lookup:bolivia|TI|MM;RC|410^7^0;233^7^0
41941187|Paraguay|D010239|2566|MH|RtM via: Paraguay;Forced Leaf Node Lookup:paraguay|TI|MM|458^8^0;194^8^0
41941187|Brazil|D001938|4647|MH|RtM via: Brazil|TI|MM;RC|471^6^0
41941187|*Chromosomes|D002875|72|MH|RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosomes|TI|MM|479^11^0
41941196|*Pteridaceae|D029625|372|MH|RtM via: Doryopteris lorentzii;RtM via: Doryopteris triphylla|TI|MM|123^21^0;21^21^0
41941196|Lipopolysaccharides|D008070|11|MH|||RC
41941271|Argentina|D001118|1077|MH|RtM via: Country of Argentina;Forced Leaf Node Lookup:argentina|TI|MM;RC|649^9^0;390^9^0;313^9^0
41941271|*Lathyrus|D027807|558|MH|RtM via: Lathyrus;Forced Leaf Node Lookup:lathyrus;checkForceMH Boosted|TI|MM|336^8^0;21^8^0
41941271|*Environment|D004777|195|MH|RtM via: Para (geographic area)|TI|MM|585^4^0;444^4^0;376^4^0
41941271|*Record|D011996|189|ET|Entry Term Replacement for "Records";RtM via: Records|TI|MM|122^8^0
41941271|*Stramenopiles|D058009|180|MH|RtM via: Regin|TI|MM|452^5^0
41941112|Humans|D006801|4762|CT|Races;CT Treecode Lookup: M01.686 (Races)||MM;RC
41941112|*Seedlings|D036226|2634|MH|RtM via: Seedlings;Forced Leaf Node Lookup:seedlings;checkForceMH Boosted|TI|MM|926^9^0
41941112|*Manihot|D002365|2397|MH|RtM via: Brazilian Arrowroot;RtM via: Manihot;RtM via: Manihot esculenta;Forced Leaf Node Lookup:maniocs;checkForceMH Boosted|TI|MM|1427^6^0;1173^6^0;861^6^0
41941112|*Sunlight|D013472|1536|MH|RtM via: Sunlight;Forced Leaf Node Lookup:sunlight|TI|MM|1317^8^0;547^5^0
41941112|*Photoperiod|D017440|1356|MH|RtM via: Photoperiod;Forced Leaf Node Lookup:photoperiods|TI|MM|1129^11^0
41941112|*Soil|D012987|1308|MH|RtM via: Soil;checkForceMH Boosted;Forced Non-Leaf Node Lookup:soil|TI|MM|1214^4^0
41941112|*Body Weight|D001835|3762|MH|RtM via: Dry body weight (observable entity)|TI|MM|1519^10^0
41941112|*Plant Leaves|D018515|687|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|1502^6^0;1531^6^0
41941112|*Postural Orthostatic Tachycardia Syndrome|D054972|519|MH|RtM via: Postural Orthostatic Tachycardia Syndrome|TI|MM|1204^4^0
41941112|*Races|D044469|354|ET|Entry Term Replacement for "Continental Population Groups";RtM via: Racial group|TI|MM|786^5^0;726^5^0;366^5^0;273^5^0
41941210|Animals|D000818|3050|CT|Salmoniformes;CT Treecode Lookup: B01.050.150.900.493 (Salmoniformes)||MM;RC
41941210|*Eryngium|D031049|2050|MH|RtM via: Eryngium;RtM via: Eryngium mesopotamicum;Forced Leaf Node Lookup:eryngiums;checkForceMH Boosted|TI|MM;RC|29^8^0;308^22^0
41941210|*Rivers|D045483|1532|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM;RC|210^5^0
41941210|Mesopotamia|D064867|167|MH|RtM via: Mesopotamia;Forced Leaf Node Lookup:mesopotamia|TI|MM|140^11^0
41941210|*Salmoniformes|D017858|369|MH|RtM via: Argentina sphyraena|TI|MM|130^9^0
41941210|*Anti-Infective Agents, Local|D000891|39|MH|RtM via: various antiseptic throat preparations|TI|MM|254^9^0
41941137|*Paspalum|D031781|1083|MH|RtM via: Paspalum notatum;Forced Leaf Node Lookup:paspalums;checkForceMH Boosted|TI|MM|201^16^0
41941173|*Diploidy|D004171|21590|MH|RtM via: Diploidy;Forced Leaf Node Lookup:diploids|TI|MM;RC|463^7^0;163^7^0;350^7^0
41941173|*Tetraploidy|D057891|9056|MH|RtM via: Tetraploidy;Forced Leaf Node Lookup:tetraploids|TI|MM|368^10^0
41941173|*Constriction|D003250|3656|MH|RtM via: Constriction procedure;Forced Leaf Node Lookup:constrictions|TI|MM|875^13^0
41941173|*Karyotypes|D059785|16308|ET|Entry Term Replacement for "Karyotype";RtM via: Karyotype (cell structure);Forced Non-Leaf Node Lookup:karyotypes|TI|MM;RC|724^10^0;25^10^0
41941173|*Polyploid|D011123|15975|ET|Entry Term Replacement for "Polyploidy";RtM via: Polyploidy;Forced Non-Leaf Node Lookup:polyploids|TI|MM;RC|408^9^0
41941173|*Karyotyping|D007621|10431|MH|RtM via: Karyotype determination procedure|TI|MM;RC|724^10^0;25^10^0
41941173|*Meiosis|D008540|2688|MH|RtM via: Meiosis;Forced Non-Leaf Node Lookup:meiosis|TI|MM;RC|585^7^0
