10.2307/1216548|Animals|C0003062|1825|CT|Mustelidae;CT Treecode Lookup: B01.050.150.900.649.313.750 (Mustelidae)||MM;RC
10.2307/1216147|*Diagnostic Tests, Routine|C0011930|45|MH|RtM via: Fungi Measurement|TI|MM|211^6^0
10.2307/1216148|*Histological Techniques|C0019637|21|MH|RtM via: Sectioning technique|TI|MM|330^7^0
10.2307/1216149|*Hibiscus|C0884982|33119|MH|RtM via: Hibiscus;Forced Leaf Node Lookup:hibiscus;checkForceMH Boosted|TI|MM;RC|210^8^0;28^8^0;120^8^0;298^8^0
10.2307/1216149|*Malvaceae|C0524874|11766|MH|RtM via: Malvaviscus;RtM via: Malvaviscus arboreus|TI|MM;RC|267^11^0;298^20^0;120^20^0
10.2307/1216149|*Flower Essences|C0884941|117|MH|RtM via: Hibiscus, Flower essence|TI|MM|210^8^0;28^8^0
10.2307/1216150|*Penstemon|C0884999|3742|MH|RtM via: Penstemon;Forced Leaf Node Lookup:penstemon;checkForceMH Boosted|TI|MM|238^9^0
10.2307/1216150|*Names|C0027365|2832|MH|RtM via: Name;RtM via: Person Name|TI|MM|539^5^0;323^5^0
10.2307/1216150|*Plantaginaceae|C0446250|2625|MH|RtM via: Chelone|TI|MM|74^7^0
10.2307/1216150|*Immune System Phenomena|C2350478|117|MH|RtM via: activated T cell autonomous cell death|TI|MM|343^4^0
10.2307/1216150|*Homeostasis|C0019868|87|MH|RtM via: activated T cell autonomous cell death|TI|MM|343^4^0
10.2307/1216151|*Capsicum|C0006932|21771|MH|RtM via: Capsicum frutescens;RtM via: Chili Pepper (dietary);RtM via: Capsicum baccatum;Forced Leaf Node Lookup:chili peppers;Forced Leaf Node Lookup:capsicum;checkForceMH Boosted|TI|MM;RC|247^12^0;114^17^0
10.2307/1216151|*Names|C0027365|9873|MH|RtM via: Name|TI|MM|284^5^0
10.2307/1216151|*Recognition, Psychology|C0524637|840|MH|RtM via: Recognition, Psychology|TI|MM|35^11^0
10.2307/1216151|South America|C0037713|567|MH|RtM via: South America;Forced Non-Leaf Node Lookup:south america|TI|MM|263^13^0
10.2307/1216152|*Clerodendrum|C1000689|7729|MH|RtM via: Clerodendrum fragrans;RtM via: Clerodendrum philippinum;Forced Leaf Node Lookup:clerodendrums;checkForceMH Boosted|TI|MM;RC|145^21^0;171^24^0
10.2307/1216152|*Horticulture|C5197899|515|MH|RtM via: Horticulture;Forced New Lookup:horticulture|TI|MM|128^12^0
10.2307/1216152|*Plant|C0032098|1815|ET|Entry Term Replacement for "Plants";RtM via: Plants|TI|MM;RC|53^5^0
10.2307/1216152|*Name|C0027365|192|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|209^4^0;40^4^0
10.2307/1216155|Animals|C0003062|7984|CT|Beetles;CT Treecode Lookup: B01.050.500.131 (Beetles)||MM;RC
10.2307/1216155|*Beetles|C0009276|4304|ET|Entry Term Replacement for "Coleoptera";RtM via: Order Coleoptera;checkForceMH Boosted;Forced Non-Leaf Node Lookup:beetles|TI|MM|1018^7^0
10.2307/1216155|Venezuela|C0042469|1097|MH|RtM via: Venezuela;Forced Leaf Node Lookup:venezuela|TI|MM|84^9^0
10.2307/1216155|*Preservation, Biological|C0033085|6984|MH|RtM via: Biologic Preservation|TI|MM|926^12^0
10.2307/1216155|*Plants|C0032098|2883|MH|RtM via: Plants|TI|MM;RC|332^6^0;74^6^0
10.2307/1216155|*Health Services|C0018747|795|MH|RtM via: Test Method|TI|MM|639^6^0
10.2307/1216155|*Formaldehyde|C0016564|786|MH|RtM via: Formaldehyde;Forced Non-Leaf Node Lookup:formaldehyde|TI|MM|966^12^0;626^12^0;174^12^0
10.2307/1216166|*Hibiscus|C0884982|18888|MH|RtM via: Hibiscus;Forced Leaf Node Lookup:hibiscus;checkForceMH Boosted|TI|MM;RC|209^8^0
10.2307/1216166|*Metroxylon|C1042068|8094|ET|Entry Term Replacement for "Arecaceae";RtM via: Metroxylon;checkForceMH Boosted|TI|MM|111^10^0
10.2307/1216166|*Barbarea|C1015354|8031|MH|RtM via: Barbarea;Forced Leaf Node Lookup:barbareas;checkForceMH Boosted|TI|MM|160^8^0
10.2307/1216166|*Fabaceae|C0023263|3915|MH|RtM via: Dalea;RtM via: Lessertia|TI|MM|546^5^0;182^9^0
10.2307/1216166|*Malvaceae|C0524874|2358|MH|RtM via: Malvaviscus|TI|MM|385^11^0
10.2307/1216166|*Seeds|C0036563|612|MH|RtM via: Restio|TI|MM|137^6^0
10.2307/1216166|*Names|C0027365|132|MH|RtM via: Name;RtM via: Person Name|TI|MM|87^5^0
10.2307/1216498|*Respect|C0679133|147|MH|RtM via: Respect;Forced Leaf Node Lookup:respect|TI|MM|170^8^0
10.2307/1216498|*Plants|C0032098|2073|MH|RtM via: Plants, Cultivated|TI|MM;RC|415^17^0;285^17^0;104^17^0
10.2307/1216500|*Basidiomycota|C0004810|33807|MH|RtM via: Ceratobasidiaceae;RtM via: Ceratobasidium;RtM via: Thanatephorus;RtM via: Tulasnellaceae;RtM via: Uthatobasidium;RtM via: Dacrymycetaceae;RtM via: Cystofilobasidiales;RtM via: Oliveonia;RtM via: Basidium|TI|MM;RC|593^17^0;427^17^0;650^14^0;687^13^0;460^14^0;706^14^0;407^15^0;307^15^0;257^22^0;676^9^0;580^7^0
10.2307/1216500|*Fungi|C0016832|21774|MH|RtM via: Fungi;Forced Non-Leaf Node Lookup:fungi|TI|MM;RC|203^5^0
10.2307/1216500|*Biochemical Phenomena|C0005474|162|MH|RtM via: DNA Sequence Rearrangement|TI|MM|150^13^0
10.2307/1216502|*Eucommiaceae|C0997100|36613|MH|RtM via: Eucommiaceae;Forced Leaf Node Lookup:eucommiaceae;checkForceMH Boosted|TI|MM|462^12^0;181^12^0
10.2307/1216502|*Saxifragaceae|C0996802|27632|MH|RtM via: Saxifragaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:saxifragaceae|TI|MM;RC|422^13^0
10.2307/1216502|*Hamamelidaceae|C0949911|74988|MH|RtM via: Hamamelidaceae;Forced Non-Leaf Node Lookup:hamamelidaceae|TI|MM;RC|633^14^0;341^14^0;99^14^0
10.2307/1216502|*Magnoliopsida|C0330209|13386|MH|RtM via: Magnoliales|TI|MM;RC|549^11^0
10.2307/1216502|*Saxifragales|C1009847|9204|MH|RtM via: Cercidiphyllaceae|TI|MM|508^17^0;144^17^0
10.2307/1216502|*Ranunculales|C1009722|5340|MH|RtM via: Eupteleaceae|TI|MM|441^12^0;163^12^0
10.2307/1216502|*Flavonoids|C0596577|3324|MH|RtM via: Flavonoids;Forced Non-Leaf Node Lookup:flavonoids|TI|MM;RC|47^9^0
10.2307/1216503|*Betalains|C0600766|83966|MH|RtM via: Betalains;checkForceMH Boosted;Forced Non-Leaf Node Lookup:betalains|TI|MM;RC|73^9^0
10.2307/1216503|*Reproducibility of Results|C0035149|6614|MH|Forced Lookup:reliability|TI|MM|54^11^0
10.2307/1216503|*Caryophyllales|C0996694|85641|MH|RtM via: Caryophyllales|TI|MM;RC|118^13^0
10.2307/1216503|Beta vulgaris|C0330391|463|MH|||RC
10.2307/1216503|*Interior Design and Furnishings|C0021751|45|MH|RtM via: Table - furniture|TI|MM|311^5^0
10.2307/1216504|Humans|C0086418|1000|CT|Forced Humans: Physicians||MM
10.2307/1216504|*Gardens|C4019428|281|MH|Forced Leaf Node Lookup:gardens|TI|MM|181^6^0
10.2307/1216504|*Names|C0027365|3705|MH|RtM via: Name;RtM via: Generic Name;RtM via: Person Name|TI|MM|195^5^0;133^5^0;262^13^0
10.2307/1216504|*Biological Phenomena|C0005520|1353|MH|RtM via: Tissue Growth|TI|MM|150^5^0
10.2307/1216504|*Physicians|C0031831|513|MH|RtM via: Physicians|TI|MM;RC|77^6^0
10.2307/1216506|*Plants|C0032098|4347|MH|RtM via: Plants|TI|MM;RC|913^6^0
10.2307/1216506|*Confusion|C0009676|2922|MH|RtM via: Confusion;RtM via: Clouded consciousness|TI|MM|212^9^0;122^8^0
10.2307/1216506|*Seeds|C0036563|1860|MH|RtM via: Class Liliopsida|TI|MM|946^16^0
10.2307/1216506|*Plant Leaves|C0242724|1635|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM|809^6^0;685^6^0;593^6^0;379^6^0;68^6^0
10.2307/1216507|*Arundo|C1005763|43460|ET|Entry Term Replacement for "Poaceae";RtM via: Arundo;RtM via: Phragmites australis;checkForceMH Boosted|TI|MM;RC|217^6^0;348^19^0;80^19^0;224^10^0
10.2307/1216507|*Phoeniceae|C1095761|9012|MH|RtM via: Date Fruit|TI|MM|375^5^0
10.2307/1216507|Wetlands|C1721088|1438|MH|||RC
10.2307/1216509|*Pandanaceae|C0997268|222|MH|RtM via: Freycinetia|TI|MM|71^11^0
10.2307/1216509|Tahiti|C0039257|198|ET|Entry Term Replacement for "Polynesia";RtM via: Tahiti|TI|MM|96^6^0
10.2307/1216509|*Name|C0027365|66|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|40^4^0
10.2307/1216510|*Solanum|C0331221|52251|MH|RtM via: genus Solanum;checkForceMH Boosted;Forced Non-Leaf Node Lookup:solanums|TI|MM;RC|70^7^0
10.2307/1216510|*Solanum nigrum|C0331225|28782|MH|RtM via: Solanum nigrum|TI|MM|70^7^0
10.2307/1216512|Humans|C0086418|9698|CT|Ethnic Groups;CT Treecode Lookup: M01.686 (Ethnic Groups)||MM;RC
10.2307/1216512|Mice|C0026809|9698|CT|CT Text Lookup: mus|TI|MM|261^3^0
10.2307/1216512|Cattle|C0007452|9698|CT|RtM via: Cattle;Forced Animals Lookup:bull|TI|MM|249^4^0
10.2307/1216512|Animals|C0003062|9698|CT|RtM via: Cattle;Forced Animals Lookup:bull;CT Text Lookup: mus|TI|MM;RC|249^4^0;261^3^0
10.2307/1216512|Male|C0086582|9698|CT|Forced Animals Lookup:bull|TI|MM|249^4^0
10.2307/1216512|*Chalk|C0205687|8698|ET|Entry Term Replacement for "Calcium Carbonate";RtM via: Chalk;checkForceMH Boosted|TI|MM|368^5^0
10.2307/1216512|*Dinoflagellate|C0012470|2818|ET|Entry Term Replacement for "Dinoflagellida";RtM via: Dinophyceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:dinoflagellates|TI|MM|327^14^0;177^14^0
10.2307/1216512|*Dietary Supplements|C0242295|7476|MH|RtM via: Dietary Supplements|TI|MM|278^10^0
10.2307/1216512|*Publication|C0034036|2160|ET|Entry Term Replacement for "Publications";RtM via: Publications;RtM via: Scientific Publication|TI|MM|312^11^0;107^9^0
10.2307/1216512|*Names|C0027365|1998|MH|RtM via: Name;RtM via: Person Name|TI|MM|884^5^0;646^5^0;500^5^0;121^5^0
10.2307/1216512|*Ethnic Groups|C0015031|201|MH|RtM via: british|TI|MM|255^4^0
10.2307/1216512|*Cysts|C0010709|39|MH|RtM via: Cyst;Forced Non-Leaf Node Lookup:cysts|TI|MM|342^4^0;192^5^0
10.2307/1216512|England|C0014282|9|MH|RtM via: England|TI|MM|396^7^0;86^7^0
10.2307/1216517|*Rosaceae|C0969712|34208|MH|RtM via: Rosaceae (plant);checkForceMH Boosted;Forced Non-Leaf Node Lookup:rosaceae|TI|MM;RC|316^8^0
10.2307/1216517|*Crassulaceae|C0949972|16508|MH|RtM via: Crassulaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:crassulaceae|TI|MM|291^12^0
10.2307/1216517|*Leguminosae|C0023263|3389|ET|Entry Term Replacement for "Fabaceae";RtM via: Fabaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:leguminosae|TI|MM|325^11^0
10.2307/1216517|*Cactaceae|C0330340|3215|MH|RtM via: Cactaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:cactaceae|TI|MM|281^9^0
10.2307/1216517|*Organizations|C0029246|159|MH|RtM via: Organization administrative structures|TI|MM|243^14^0
10.2307/1216517|*Publications|C0034036|147|MH|RtM via: Publications|TI|MM|220^10^0
10.2307/1217702|*Magnoliopsida|C0330209|4506|MH|RtM via: Magnoliopsida;RtM via: Limnanthaceae|TI|MM|243^14^0;265^13^0
10.2307/1217702|*Cluster Analysis|C0009085|3903|MH|RtM via: statistical cluster;Forced Non-Leaf Node Lookup:cluster analysis|TI|MM|280^16^0;61^16^0
10.2307/1217702|*Publications|C0034036|948|MH|RtM via: Publications|TI|MM|141^10^0
10.2307/1217702|*Health Services|C0018747|750|MH|RtM via: Test Method|TI|MM|511^6^0
10.2307/1217705|*Confusion|C0009676|2898|MH|RtM via: Confusion;RtM via: Clouded consciousness|TI|MM|1577^9^0;509^8^0
10.2307/1217705|*Phoeniceae|C1095761|1881|MH|RtM via: Date Fruit|TI|MM|663^5^0
10.2307/1217705|*Name|C0027365|1419|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Generic Name;RtM via: Person Name|TI|MM|1346^4^0;848^4^0;558^4^0;148^12^0
10.2307/1217705|*Publication|C0034036|963|ET|Entry Term Replacement for "Publications";RtM via: Publications;RtM via: Scientific Publication|TI|MM|1169^11^0;651^11^0;612^9^0
10.2307/1217706|*Iridaceae|C0949805|37295|MH|RtM via: Iridaceae;RtM via: Sisyrinchium;checkForceMH Boosted;Forced Non-Leaf Node Lookup:iridaceae|TI|MM|58^9^0;44^12^0
10.2307/1217706|*Capsules|C0006935|4124|MH|RtM via: capsule (pharmacologic);Forced Leaf Node Lookup:capsules|TI|MM|1074^8^0
10.2307/1217706|Bermuda|C0005126|3623|MH|RtM via: Bermuda;Forced Leaf Node Lookup:bermuda|TI|MM|1187^7^0;155^7^0
10.2307/1217706|*Flowers|C0330090|17937|MH|RtM via: Flowers;Forced Non-Leaf Node Lookup:flowers|TI|MM;RC|542^7^0;960^7^0
10.2307/1217706|*Plant Leaves|C0242724|15654|MH|RtM via: Plant Leaves;Forced Non-Leaf Node Lookup:leaves|TI|MM;RC|519^6^0;638^6^0;783^6^0;874^6^0;1059^6^0
10.2307/1217706|*Color|C0009393|12519|MH|RtM via: Pale color;RtM via: Blue color;RtM via: Purple|TI|MM;RC|661^4^0;537^4^0;925^8^0
10.2307/1217706|*Pallor|C0030232|4095|MH|RtM via: Pallor|TI|MM|661^4^0
10.2307/1217706|North America|C0028405|1000|MH|Forced Non-Leaf Node Lookup:north america||MM|110^13^0
10.2307/1217707|*Fungus|C0016832|1563|ET|Entry Term Replacement for "Fungi";RtM via: Fungi;Forced Non-Leaf Node Lookup:fungus|TI|MM|380^6^0
10.2307/1217707|*Basidiomycota|C0004810|1260|MH|RtM via: Corticiaceae|TI|MM|322^12^0
10.2307/1217707|*Diagnostic Tests, Routine|C0011930|36|MH|RtM via: Fungi Measurement|TI|MM|380^6^0
10.2307/1217708|*Basidiomycota|C0004810|471|MH|RtM via: Ramaria|TI|MM;RC|210^7^0;109^7^0
10.2307/1217708|*Color|C0009393|69|MH|RtM via: Gray color|TI|MM|138^4^0
10.2307/1217726|*Tephrosia|C0330794|53954|MH|RtM via: Tephrosia;Forced Leaf Node Lookup:tephrosias;checkForceMH Boosted|TI|MM;RC|326^9^0
10.2307/1217726|*Dolichos|C0330856|30737|MH|RtM via: Dolichos;Forced Leaf Node Lookup:dolichos;checkForceMH Boosted|TI|MM|482^8^0
10.2307/1217726|*Euterpe|C1054954|14711|MH|RtM via: Euterpe;Forced Leaf Node Lookup:euterpes;checkForceMH Boosted|TI|MM|126^7^0
10.2307/1217726|*Glycine|C0017890|4867|MH|RtM via: Glycine;checkForceMH Boosted;Forced Non-Leaf Node Lookup:glycine|TI|MM|172^7^0
10.2307/1217726|*Fabaceae|C0023263|15066|MH|RtM via: Glycine (Plant);RtM via: Glycine <subgenus>|TI|MM|172^7^0
10.2307/1217726|*Magnoliopsida|C0330209|7404|MH|RtM via: Eucnide;RtM via: Vahlia;RtM via: Warburgia|TI|MM|221^7^0;158^6^0;204^9^0
10.2307/1217726|*Arecaceae|C0682477|5295|MH|RtM via: Prestoea|TI|MM|111^8^0
10.2307/1217726|*Poaceae|C0018210|3456|MH|RtM via: Danthonia|TI|MM|417^9^0
10.2307/1217392|*Angiosperms|C0330209|343197|ET|Entry Term Replacement for "Magnoliopsida";RtM via: Angiosperm;RtM via: Magnoliopsida;RtM via: Himantandraceae;RtM via: Magnoliales;checkForceMH Boosted;Forced Non-Leaf Node Lookup:angiosperms|TI|MM;RC|738^11^0;313^11^0;112^15^0;86^11^0
10.2307/1217392|*Laurales|C1092983|123606|MH|RtM via: Laurales;checkForceMH Boosted;Forced Non-Leaf Node Lookup:laurales|TI|MM|168^8^0
10.2307/1217392|*Hernandiaceae|C1001151|120603|MH|RtM via: Hernandiaceae;Forced Leaf Node Lookup:hernandiaceae;checkForceMH Boosted|TI|MM|236^13^0
10.2307/1217392|*Winteraceae|C0996651|115839|MH|RtM via: Winteraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:winteraceae|TI|MM|99^11^0
10.2307/1217392|*Lauraceae|C0524954|111411|MH|RtM via: Lauraceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:lauraceae|TI|MM;RC|225^9^0
10.2307/1217392|*Annonaceae|C0949899|108207|MH|RtM via: Annonaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:annonaceae|TI|MM|129^10^0
10.2307/1217392|*Myristicaceae|C0949746|100941|MH|RtM via: Myristicaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:myristicaceae|TI|MM|141^13^0
10.2307/1217392|*Ficus|C0969754|69864|MH|Forced Leaf Node Lookup:fig;checkForceMH Boosted|TI|MM|515^3^0
10.2307/1217392|*Phylogeny|C0031797|66792|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM;RC|552^12^0
10.2307/1217392|*Biological Evolution|C0015219|34653|MH|RtM via: Biological Evolution|TI|MM;RC|470^12^0
10.2307/1217392|*Woods|C0043217|13755|ET|Entry Term Replacement for "Wood";RtM via: Wood material|TI|MM;RC|495^5^0;326^5^0
10.2307/1217392|*Austrobaileyales|C1086320|12288|MH|RtM via: Austrobaileyaceae|TI|MM|178^17^0
10.2307/1217392|*Ploidy|C0032246|11733|ET|Entry Term Replacement for "Ploidies";RtM via: Ploidies;Forced Non-Leaf Node Lookup:ploidy|TI|MM|398^6^0
10.2307/1217392|*Chromosome|C0008633|9405|ET|Entry Term Replacement for "Chromosomes";RtM via: Chromosomes;Forced Non-Leaf Node Lookup:chromosome|TI|MM|654^11^0;416^11^0;32^10^0
10.2307/1217423|*Pueraria|C0950068|7337|MH|RtM via: Pueraria;Forced Leaf Node Lookup:puerarias;checkForceMH Boosted|TI|MM|367^8^0
10.2307/1217423|*Fabaceae|C0023263|12060|MH|RtM via: Calliandra;RtM via: Flemingia|TI|MM;RC|223^10^0;398^9^0
10.2307/1217423|*Brassicaceae|C0524824|1146|MH|RtM via: Goldbachia|TI|MM|149^10^0
10.2307/1217423|*Orchidaceae|C0949956|966|MH|RtM via: Himantoglossum|TI|MM;RC|127^14^0
10.2307/1217423|*Ericaceae|C0446235|639|MH|RtM via: Chamaedaphne|TI|MM|502^12^0
10.2307/1216042|*Language|C0023008|2836|MH|RtM via: Languages;Forced Leaf Node Lookup:languages|TI|MM|750^8^0
10.2307/1216042|*Filing|C0016094|14964|MH|RtM via: File (record)|TI|MM|515^5^0
10.2307/1216042|*Translations|C0040712|9888|MH|RtM via: Language Translations|TI|MM|718^11^0
10.2307/1216042|*Computer Programs|C0037585|2751|ET|Entry Term Replacement for "Software";RtM via: Computer software;Forced Non-Leaf Node Lookup:computer programs|TI|MM;RC|28^17^0
10.2307/1216042|North America|C0028405|6|MH|RtM via: North America|TI|MM|164^13^0
10.2307/1216043|*Rosales|C0524901|85398|MH|RtM via: Rosales;checkForceMH Boosted;Forced Non-Leaf Node Lookup:rosales|TI|MM;RC|178^7^0
10.2307/1216043|*Magnoliopsida|C0330209|5520|MH|RtM via: Bruniaceae|TI|MM|208^10^0
10.2307/1216043|*Flavonoids|C0596577|3165|MH|RtM via: Flavonoids;Forced Non-Leaf Node Lookup:flavonoids|TI|MM;RC|46^9^0
10.2307/1216043|*Research|C0035168|318|MH|RtM via: Study|TI|MM|231^7^0
10.2307/1216044|*Saxifragaceae|C0996802|13362|MH|RtM via: Saxifragaceae;checkForceMH Boosted;Forced Non-Leaf Node Lookup:saxifragaceae|TI|MM;RC|242^13^0
10.2307/1216044|*Seeds|C0036563|2289|MH|RtM via: Bauera;RtM via: Cunoniaceae;RtM via: Eucryphia|TI|MM;RC|335^6^0;359^11^0;203^11^0;84^11^0;346^9^0
10.2307/1216044|Magnoliopsida|C0330209|287|MH|||RC
10.2307/1216046|*Publication|C0034036|9660|ET|Entry Term Replacement for "Publications";RtM via: Publications;RtM via: Scientific Publication|TI|MM|157^11^0
10.2307/1216046|*Publishing|C0034037|8037|MH|RtM via: Publishing|TI|MM;RC|157^11^0
10.2307/1216046|*Names|C0027365|2739|MH|RtM via: Name;RtM via: Person Name|TI|MM|126^5^0
10.2307/1216047|*Name|C0027365|72|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|290^4^0
10.2307/1216047|Species Specificity|C0037783|24|MH|||RC
10.2307/1216048|*Language|C0023008|1350|MH|RtM via: figurative|TI|MM|143^6^0
10.2307/1216048|*Publications|C0034036|909|MH|RtM via: Publications;RtM via: Scientific Publication|TI|MM|307^12^0;254^9^0
10.2307/1216049|*Abstracting and Indexing|C0000858|1827|MH|RtM via: Index|TI|MM|395^5^0;191^5^0
10.2307/1216049|*Publications|C0034036|1449|MH|RtM via: Publications;RtM via: Scientific Publication|TI|MM|516^12^0;38^11^0;236^9^0
10.2307/1216049|*Names|C0027365|675|MH|RtM via: Name;RtM via: Person Name|TI|MM|541^4^0;368^5^0;214^5^0;139^5^0
10.2307/1216051|*Uncertainty|C0087130|2573|MH|RtM via: Uncertainty;Forced Leaf Node Lookup:uncertainty|TI|MM|59^11^0
10.2307/1216051|*Fungus|C0016832|5376|ET|Entry Term Replacement for "Fungi";RtM via: Fungi;Forced Non-Leaf Node Lookup:fungus|TI|MM|467^6^0
10.2307/1216051|*Fungi imperfecti|C0011746|4542|ET|Entry Term Replacement for "Mitosporic Fungi";RtM via: Mitosporic Fungi;Forced Non-Leaf Node Lookup:fungi imperfecti|TI|MM|187^16^0
10.2307/1216051|*Plants|C0032098|4299|MH|RtM via: Plants|TI|MM;RC|368^6^0
10.2307/1216051|*Basidiomycota|C0004810|1746|MH|RtM via: Stilbum <fungus>|TI|MM|126^7^0
10.2307/1216052|*Ascomycete|C0003965|2859|ET|Entry Term Replacement for "Ascomycota";RtM via: Ascomycota (fungus);RtM via: Class Ascomycetes (fungus);Forced Non-Leaf Node Lookup:ascomycetes|TI|MM|157^10^0
10.2307/1216052|*Name|C0027365|120|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name|TI|MM|207^4^0;235^5^0
10.2307/1216052|*Diagnostic Tests, Routine|C0011930|78|MH|RtM via: Fungi Measurement|TI|MM|220^6^0
10.2307/1216055|*Cuphea|C0996868|4334|MH|RtM via: Cuphea;Forced Leaf Node Lookup:cupheas;checkForceMH Boosted|TI|MM|45^6^0
10.2307/1216055|*Names|C0027365|699|MH|RtM via: Name;RtM via: Person Name|TI|MM|77^4^0;116^5^0
10.2307/1216055|*Apocynaceae|C0949900|21|MH|RtM via: Parsonsia|TI|MM|122^9^0
10.2307/1216056|Madagascar|C0024443|4258|MH|RtM via: Madagascar;Forced Leaf Node Lookup:madagascar|TI|MM;RC|306^10^0
10.2307/1216056|*Dolichos|C0330856|986|MH|Forced Leaf Node Lookup:dolichos;checkForceMH Boosted|TI|MM|28^8^0
10.2307/1216056|Africa|C0001737|4662|MH|RtM via: Africa;Forced Non-Leaf Node Lookup:africa|TI|MM;RC|295^6^0
10.2307/1216056|*Fabaceae|C0023263|657|MH|RtM via: Dipogon lignosus;RtM via: Psophocarpus palustris;RtM via: Dipogon <angiosperm>|TI|MM|28^17^0;111^22^0;88^7^0
10.2307/1216059|*Name|C0027365|924|ET|Entry Term Replacement for "Names";RtM via: Name;RtM via: Person Name;RtM via: Generic Name|TI|MM|129^4^0;32^12^0
10.2307/1216059|*Publications|C0034036|219|MH|RtM via: Scientific Publication|TI|MM|147^9^0
10.2307/1216059|*Cactaceae|C0330340|108|MH|RtM via: Cephalocereus|TI|MM|250^13^0
10.2307/1216059|*Emotions|C0013987|30|MH|RtM via: doubt|TI|MM|109^5^0
10.2307/1216064|*Marital Status|C0024819|4647|MH|RtM via: Legally Separated|TI|MM|58^9^0
10.2307/1216064|*Social Problems|C0037431|1794|MH|RtM via: Legally Separated|TI|MM|58^9^0
10.2307/1216064|*Uncertainty|C0087130|171|MH|RtM via: Uncertainty|TI|MM|206^9^0
10.2307/1218001|*Viscaceae|C0949846|987|MH|RtM via: Arceuthobium;Forced Leaf Node Lookup:arceuthobiums;checkForceMH Boosted|TI|MM|753^12^0
10.2307/1218001|Phylogeny|C0031797|461|MH|||RC
10.2307/1218001|*Knowledge|C0376554|375|MH|RtM via: Knowledge|TI|MM|463^9^0
10.2307/1218001|*Stereotypic Movement Disorder|C0038273|156|MH|RtM via: Mannerism|TI|MM|787^6^0
10.2307/1218002|Animals|C0003062|1555|CT|Gastropoda;CT Treecode Lookup: B01.050.500.644 (Gastropoda)|TI|MM
10.2307/1218002|*Bacitracin|C0004599|555|MH|RtM via: Septa|TI|MM|143^5^0
10.2307/1218002|*Polymyxin B|C0032535|276|MH|RtM via: Septa|TI|MM|143^5^0
10.2307/1218002|*Basidiomycota|C0004810|150|MH|RtM via: Subphylum Basidiomycotina;RtM via: Class Heterobasidiomycetes;RtM via: Class Tremellomycetes|TI|MM|563^15^0;482^20^0
10.2307/1218002|*Gastropoda|C0324023|72|MH|RtM via: Septa (gastropod)|TI|MM|143^5^0
10.2307/1218003|Humans|C0086418|13716|CT|Forced Leaf Node Lookup:humans;CT Text Lookup: human;CT Text Lookup: humans|TI|MM;RC|176^6^0
10.2307/1218003|Animals|C0003062|1000|CT|Forced Treecode Turn Back On: B01.050.500.131.617 (Insecta)||MM
10.2307/1218003|*Dichlorvos|C0012087|12716|MH|RtM via: Dichlorvos;Forced Leaf Node Lookup:dichlorvos;checkForceMH Boosted|TI|MM;RC|40^10^0
10.2307/1218003|*Hexachlorocyclohexane|C0005038|10973|MH|RtM via: Lindane;Forced Leaf Node Lookup:lindane;checkForceMH Boosted|TI|MM;RC|28^7^0
